,start_station_name,start_count,end_count,deficit,popularity
109,5 Ave & E 78 St,1806.0,1710,96.0,3516.0
110,5 Ave & E 88 St,2776.0,2802,-26.0,5578.0
111,5 Ave & E 93 St,1132.0,1123,9.0,2255.0
112,5 St & 51 Ave,264.0,264,0.0,528.0
113,5 St & 6 Ave,279.0,280,-1.0,559.0
114,6 Ave & 12 St,388.0,397,-9.0,785.0
115,6 Ave & 9 St,613.0,614,-1.0,1227.0
116,6 Ave & Broome St,2776.0,2968,-192.0,5744.0
117,6 Ave & Canal St,1490.0,1666,-176.0,3156.0
118,6 Ave & W 33 St,4569.0,4443,126.0,9012.0
119,6 Ave & W 34 St,2903.0,2840,63.0,5743.0
120,6 St & 7 Ave,411.0,415,-4.0,826.0
121,7 Ave & Central Park South,2878.0,2763,115.0,5641.0
122,7 Ave & Park Pl,1068.0,1033,35.0,2101.0
123,7 St & 3 Ave,400.0,409,-9.0,809.0
124,7 St & 5 Ave,393.0,417,-24.0,810.0
125,8 Ave & W 31 St,5287.0,5436,-149.0,10723.0
126,8 Ave & W 33 St,4541.0,4463,78.0,9004.0
127,8 Ave & W 52 St,3217.0,3176,41.0,6393.0
128,9 Ave & W 18 St,1726.0,1963,-237.0,3689.0
129,9 Ave & W 22 St,3694.0,3834,-140.0,7528.0
130,9 Ave & W 28 St,2513.0,2537,-24.0,5050.0
131,9 Ave & W 45 St,3071.0,3033,38.0,6104.0
132,9 St & 44 Rd,283.0,254,29.0,537.0
133,Adam Clayton Powell Blvd & W 115 St,305.0,303,2.0,608.0
134,Adam Clayton Powell Blvd & W 118 St,415.0,406,9.0,821.0
135,Adam Clayton Powell Blvd & W 123 St,513.0,519,-6.0,1032.0
136,Adam Clayton Powell Blvd & W 126 St,518.0,515,3.0,1033.0
137,Adelphi St & Myrtle Ave,904.0,872,32.0,1776.0
138,Albany Ave & Fulton St,164.0,174,-10.0,338.0
139,Allen St & Hester St,2570.0,2550,20.0,5120.0
140,Allen St & Rivington St,2623.0,2592,31.0,5215.0
141,Allen St & Stanton St,2725.0,2708,17.0,5433.0
142,Amsterdam Ave & W 119 St,444.0,411,33.0,855.0
143,Amsterdam Ave & W 125 St,471.0,462,9.0,933.0
144,Amsterdam Ave & W 66 St,946.0,945,1.0,1891.0
145,Amsterdam Ave & W 73 St,3362.0,3305,57.0,6667.0
146,Amsterdam Ave & W 79 St,2032.0,2023,9.0,4055.0
147,Amsterdam Ave & W 82 St,1907.0,1784,123.0,3691.0
148,Astoria Park S & Shore Blvd,590.0,604,-14.0,1194.0
149,Atlantic Ave & Fort Greene Pl,1036.0,1046,-10.0,2082.0
150,Atlantic Ave & Furman St,1605.0,1598,7.0,3203.0
151,Avenue C & E 18 St,1729.0,1586,143.0,3315.0
