,hour,station_name,start_count,end_count,deficit,popularity
0,0,1 Ave & E 110 St,7.0,13.0,-2.0,5.0
1,0,1 Ave & E 16 St,36.0,39.0,-1.0,18.0
2,0,1 Ave & E 18 St,17.0,40.0,-6.0,14.0
3,0,1 Ave & E 30 St,11.0,20.0,-3.0,7.0
4,0,1 Ave & E 39 St,4.0,22.0,-5.0,6.0
5,0,1 Ave & E 44 St,13.0,11.0,0.0,6.0
6,0,1 Ave & E 6 St,35.0,26.0,2.0,15.0
7,0,1 Ave & E 62 St,15.0,20.0,-2.0,8.0
8,0,1 Ave & E 68 St,15.0,28.0,-4.0,10.0
9,0,1 Ave & E 78 St,18.0,24.0,-2.0,10.0
10,0,1 Ave & E 94 St,1.0,7.0,-2.0,2.0
11,0,1 Pl & Clinton St,1.0,6.0,-2.0,1.0
12,0,1 St & 6 Ave,2.0,12.0,-3.0,3.0
13,0,10 Ave & W 14 St,27.0,16.0,2.0,10.0
14,0,10 Ave & W 28 St,35.0,40.0,-2.0,18.0
15,0,10 St & 5 Ave,2.0,5.0,-1.0,1.0
16,0,10 St & 7 Ave,4.0,14.0,-3.0,4.0
17,0,11 Ave & Prospect Ave,3.0,5.0,-1.0,2.0
18,0,11 Ave & W 27 St,23.0,36.0,-4.0,14.0
19,0,11 Ave & W 41 St,18.0,44.0,-7.0,15.0
20,0,11 Ave & W 59 St,3.0,28.0,-7.0,7.0
21,0,11 St & 43 Ave,2.0,0.0,0.0,0.0
22,0,12 Ave & 36 St,2.0,1.0,0.0,0.0
23,0,12 Ave & W 125 St,8.0,16.0,-2.0,6.0
24,0,12 Ave & W 40 St,23.0,28.0,-2.0,12.0
25,0,14 St & 5 Ave,6.0,17.0,-3.0,5.0
26,0,14 St & 7 Ave,17.0,7.0,2.0,6.0
27,0,16th St & 4th Ave,5.0,9.0,-1.0,3.0
28,0,17 St & 5 Ave,11.0,10.0,0.0,5.0
29,0,18 St & 27 Ave,3.0,2.0,0.0,1.0
30,0,19 St & 24 Ave,3.0,3.0,0.0,1.0
31,0,2 Ave & E 104 St,1.0,4.0,-1.0,1.0
32,0,2 Ave & E 122 St,2.0,4.0,-1.0,1.0
33,0,2 Ave & E 125 St,6.0,5.0,0.0,2.0
34,0,2 Ave & E 29 St,9.0,18.0,-3.0,6.0
35,0,2 Ave & E 31 St,25.0,37.0,-3.0,15.0
36,0,2 Ave & E 55 St,12.0,11.0,0.0,5.0
37,0,2 Ave & E 72 St,21.0,24.0,-1.0,11.0
38,0,2 Ave & E 96 St,8.0,8.0,0.0,4.0
39,0,2 Ave & E 99 St,4.0,5.0,-1.0,2.0
40,0,20 Ave & 38 St,1.0,1.0,0.0,0.0
41,0,20 Ave & Shore Blvd,8.0,7.0,0.0,3.0
42,0,21 Ave & Crescent St,4.0,16.0,-3.0,5.0
43,0,21 Ave & Shore Blvd,9.0,13.0,-1.0,5.0
44,0,21 St & 21 Ave,4.0,7.0,-1.0,2.0
45,0,21 St & 23 Ave,1.0,2.0,-1.0,0.0
46,0,21 St & 31 Dr,4.0,8.0,-1.0,3.0
47,0,21 St & 36 Ave,3.0,1.0,0.0,1.0
48,0,21 St & 38 Ave,1.0,1.0,0.0,0.0
49,0,21 St & 4 Ave,1.0,6.0,-2.0,1.0
50,0,21 St & Hoyt Ave S,2.0,3.0,-1.0,1.0
51,0,21 St & Queens Plaza North,11.0,10.0,0.0,5.0
52,0,23 Ave & 27 St,3.0,2.0,0.0,1.0
53,0,23 Rd & 31 St,1.0,0.0,0.0,0.0
54,0,24 Ave & 26 St,1.0,4.0,-1.0,1.0
55,0,24 Ave & 29 St,4.0,4.0,0.0,2.0
56,0,24 St & 38 Ave,3.0,0.0,0.0,0.0
57,0,24 St & 5 Ave,4.0,5.0,-1.0,2.0
58,0,25 Ave & 41 St,3.0,14.0,-3.0,4.0
59,0,27 Ave & 3 St,2.0,4.0,-1.0,1.0
60,0,27 Ave & 9 St,1.0,0.0,0.0,0.0
61,0,27 St & Hunter St,9.0,12.0,-1.0,5.0
62,0,28 Ave & 35 St,4.0,7.0,-1.0,2.0
63,0,28 Ave & 44 St,3.0,10.0,-2.0,3.0
64,0,28 St & 36 Ave,1.0,2.0,-1.0,0.0
65,0,28 St & 41 Ave,7.0,6.0,0.0,3.0
66,0,29 St & 5 Ave,1.0,1.0,0.0,0.0
67,0,3 Ave & 14 St,2.0,2.0,0.0,1.0
68,0,3 Ave & Carroll St,7.0,2.0,1.0,2.0
69,0,3 Ave & E 100 St,2.0,5.0,-1.0,1.0
70,0,3 Ave & E 112 St,3.0,5.0,-1.0,2.0
71,0,3 Ave & E 163 St,4.0,2.0,0.0,1.0
72,0,3 Ave & E 169 St,7.0,15.0,-2.0,5.0
73,0,3 Ave & E 170 St,7.0,11.0,-1.0,4.0
74,0,3 Ave & E 174 St,3.0,6.0,-1.0,2.0
75,0,3 Ave & E 62 St,8.0,17.0,-3.0,6.0
76,0,3 Ave & E 71 St,6.0,9.0,-1.0,3.0
77,0,3 Ave & Franklin Ave,1.0,3.0,-1.0,1.0
78,0,3 Ave & Schermerhorn St,6.0,15.0,-3.0,5.0
79,0,3 St & 3 Ave,5.0,1.0,1.0,1.0
80,0,3 St & 7 Ave,8.0,7.0,0.0,3.0
81,0,3 St & Hoyt St,3.0,2.0,0.0,1.0
82,0,3 St & Prospect Park West,7.0,5.0,0.0,3.0
83,0,30 Ave & 12 St,1.0,4.0,-1.0,1.0
84,0,30 Ave & 21 St,3.0,4.0,-1.0,1.0
85,0,30 Ave & 41 St,2.0,5.0,-1.0,1.0
86,0,30 Ave & 47 St,1.0,6.0,-2.0,1.0
87,0,30 St & 4 Ave,3.0,0.0,0.0,0.0
88,0,31 Ave & 14 St,3.0,3.0,0.0,1.0
89,0,31 Ave & 30 St,10.0,14.0,-1.0,6.0
90,0,31 Ave & 34 St,13.0,11.0,0.0,6.0
91,0,31 Ave & Crescent St,5.0,11.0,-2.0,4.0
92,0,31 Ave & Steinway St,2.0,3.0,-1.0,1.0
93,0,31 St & 21 Ave,1.0,6.0,-2.0,1.0
94,0,31 St & 23 Ave,11.0,7.0,1.0,4.0
95,0,31 St & Broadway,11.0,14.0,-1.0,6.0
96,0,31 St & Ditmars Blvd,13.0,8.0,1.0,5.0
97,0,31 St & Hoyt Ave N,6.0,2.0,1.0,2.0
98,0,31 St & Newtown Ave,7.0,13.0,-2.0,5.0
99,0,31 St & Northern Blvd,3.0,4.0,-1.0,1.0
100,0,33 St & 47 Ave,1.0,1.0,0.0,0.0
101,0,34 Ave & 13 St,2.0,5.0,-1.0,1.0
102,0,34 Ave & 31 St,2.0,4.0,-1.0,1.0
103,0,34 Ave & 38 St,5.0,5.0,0.0,2.0
104,0,34 Ave & 45 St,2.0,3.0,-1.0,1.0
105,0,34 Ave & 48 St,1.0,1.0,0.0,0.0
106,0,34 St & 35 Ave,6.0,4.0,0.0,2.0
107,0,34 St & 4 Ave,1.0,0.0,0.0,0.0
108,0,34 St & 5 Ave,1.0,4.0,-1.0,1.0
109,0,34th Ave & Vernon Blvd,1.0,2.0,-1.0,0.0
110,0,35 Ave & 37 St,6.0,0.0,1.0,1.0
111,0,35 St & 30 Ave,8.0,13.0,-2.0,5.0
112,0,35 St & 34 Ave,2.0,6.0,-1.0,2.0
113,0,35 St & Broadway,5.0,8.0,-1.0,3.0
114,0,36 Ave & 31 St,9.0,5.0,1.0,3.0
115,0,36 St & 3 Ave,2.0,5.0,-1.0,1.0
116,0,36 St & 4 Ave,7.0,1.0,1.0,2.0
117,0,36 St & Ditmars Blvd,7.0,8.0,-1.0,3.0
118,0,37 Ave & 35 St,3.0,4.0,-1.0,1.0
119,0,37 St & 24 Ave,4.0,3.0,0.0,1.0
120,0,38 Ave & 29 St,2.0,6.0,-1.0,2.0
121,0,38 St & 30 Ave,2.0,2.0,0.0,1.0
122,0,38 St & Northern Blvd,2.0,2.0,0.0,1.0
123,0,39 Ave & 56 St,2.0,0.0,0.0,0.0
124,0,39 St & Queens Blvd,6.0,5.0,0.0,2.0
125,0,4 Ave & 17 St,6.0,9.0,-1.0,3.0
126,0,4 Ave & 26 St,2.0,4.0,-1.0,1.0
127,0,4 Ave & 3 St,4.0,5.0,-1.0,2.0
128,0,4 Ave & 9 St,11.0,11.0,0.0,5.0
129,0,4 Ave & E 12 St,21.0,16.0,1.0,9.0
130,0,4 Ave & Shore Road Dr,1.0,4.0,-1.0,1.0
131,0,40 Ave & 9 St,1.0,1.0,0.0,0.0
132,0,40 Ave & Crescent St,2.0,2.0,0.0,1.0
133,0,41 St & 3 Ave,1.0,0.0,0.0,0.0
134,0,42 Pl & Northern Blvd,1.0,0.0,0.0,0.0
135,0,43 Ave & 42 St,2.0,11.0,-3.0,3.0
136,0,43 St & 35 Ave,2.0,5.0,-1.0,1.0
137,0,43 St & Broadway,13.0,8.0,1.0,5.0
138,0,43 St & Skillman Ave,3.0,3.0,0.0,1.0
