,start_station_name,start_count,end_count,deficit,popularity,deficit_normalized,popularity_normalized
159,37 Ave & 35 St,316,316,0,632,0.0,0.040193335029254644
160,37 Ave & 63 St,64,72,-8,136,-0.034934497816593885,0.008649198677181379
161,37 St & 24 Ave,298,306,-8,604,-0.034934497816593885,0.03841261765454083
162,38 Ave & 29 St,407,408,-1,815,-0.004366812227074236,0.05183159501399135
163,38 St & 30 Ave,993,932,61,1925,0.15365239294710328,0.12242431951157466
164,38 St & Northern Blvd,181,164,17,345,0.042821158690176324,0.021940981938438058
165,39 Ave & 45 St,179,176,3,355,0.007556675062972292,0.022576952429407274
166,39 Ave & 54 St,55,57,-2,112,-0.008733624454148471,0.0071228694988552535
167,39 Ave & 56 St,158,164,-6,322,-0.026200873362445413,0.020478249809208853
168,39 Dr & 52 St,169,149,20,318,0.05037783375314862,0.020223861612821165
169,39 St & 47 Ave,338,333,5,671,0.012594458438287154,0.042673619944034596
170,39 St & 50 Ave,268,262,6,530,0.015113350125944584,0.03370643602136861
171,39 St & Queens Blvd,331,333,-2,664,-0.008733624454148471,0.042228440600356146
172,4 Ave & 17 St,356,369,-13,725,-0.056768558951965066,0.04610786059526838
173,4 Ave & 26 St,285,295,-10,580,-0.043668122270742356,0.0368862884762147
174,4 Ave & 3 St,1010,1023,-13,2033,-0.056768558951965066,0.12929280081404224
175,4 Ave & 9 St,1003,1013,-10,2016,-0.043668122270742356,0.12821165097939455
176,4 Ave & E 12 St,3488,3518,-30,7006,-0.13100436681222707,0.44556092597303487
177,4 Ave & Shore Road Dr,187,190,-3,377,-0.013100436681222707,0.023976087509539556
178,40 Ave & 9 St,391,407,-16,798,-0.06986899563318777,0.05075044517934368
179,40 Ave & Crescent St,326,324,2,650,0.005037783375314861,0.04133808191299924
180,40 St & Queens Blvd,466,430,36,896,0.0906801007556675,0.05698295599084203
181,41 Ave & 67 St,52,62,-10,114,-0.043668122270742356,0.007250063597049097
182,41 St & 3 Ave,77,77,0,154,0.0,0.009793945560925972
183,41 St & 4 Ave,206,211,-5,417,-0.021834061135371178,0.026519969473416432
184,42 Pl & Northern Blvd,212,202,10,414,0.02518891687657431,0.026329178326125666
185,42 St & 1 Ave,23,21,2,44,0.005037783375314861,0.0027982701602645636
186,43 Ave & 40 St,205,202,3,407,0.007556675062972292,0.025883998982447216
187,43 Ave & 42 St,442,442,0,884,0.0,0.05621979140167896
188,43 Ave & 47 St,210,176,34,386,0.08564231738035265,0.024548460951411853
189,43 St & 23 Ave,140,130,10,270,0.02518891687657431,0.017171203256168915
190,43 St & 35 Ave,214,219,-5,433,-0.021834061135371178,0.027537522258967183
191,43 St & 37 Ave,94,93,1,187,0.0025188916876574307,0.011892648181124395
192,43 St & 50 Ave,280,278,2,558,0.005037783375314861,0.035487153396082424
193,43 St & Broadway,564,572,-8,1136,-0.034934497816593885,0.07224624777410328
194,43 St & Skillman Ave,325,327,-2,652,-0.008733624454148471,0.041465276011193083
195,44 Dr & Jackson Ave,1079,1127,-48,2206,-0.2096069868995633,0.1402950903078097
196,44 St & 3 Ave,92,99,-7,191,-0.03056768558951965,0.012147036377512084
197,44 St & 48 Ave,279,228,51,507,0.12846347607052896,0.0322437038921394
198,44 St & 6 Ave,265,154,111,419,0.2795969773299748,0.026647163571610278
199,44 St & Greenpoint Ave,204,206,-2,410,-0.008733624454148471,0.02607479012973798
200,45 Ave & 21 St,918,928,-10,1846,-0.043668122270742356,0.11740015263291784
201,45 Rd & 11 St,542,550,-8,1092,-0.034934497816593885,0.06944797761383872
202,45 St & 4 Ave,256,259,-3,515,-0.013100436681222707,0.03275248028491478
203,46 Ave & 5 St,1406,1431,-25,2837,-0.1091703056768559,0.18042482828796744
204,46 St & 25 Ave,189,164,25,353,0.06297229219143577,0.022449758331213432
205,46 St & 28 Ave,231,195,36,426,0.0906801007556675,0.027092342915288732
206,46 St & 30 Rd,136,122,14,258,0.03526448362720403,0.01640803866700585
207,46 St & 6 Ave,121,119,2,240,0.005037783375314861,0.015263291783261256
208,46 St & 7 Ave,267,268,-1,535,-0.004366812227074236,0.03402442126685322
209,46 St & Queens Blvd,450,370,80,820,0.20151133501259447,0.05214958025947596
210,47 Ave & 31 St,379,388,-9,767,-0.039301310043668124,0.0487789366573391
211,47 Ave & 48 St,117,119,-2,236,-0.008733624454148471,0.01500890358687357
212,47 Ave & Skillman Ave,76,81,-5,157,-0.021834061135371178,0.009984736708216738
213,47 St & 3 Ave,61,52,9,113,0.022670025188916875,0.007186466547952175
214,48 Ave & 37 St,216,215,1,431,0.0025188916876574307,0.02741032816077334
215,48 Ave & 41 St,331,328,3,659,0.007556675062972292,0.041910455354871534
216,48 Ave & 5 St,442,491,-49,933,-0.21397379912663755,0.059336046807428135
217,48 St & 2 Ave,76,74,2,150,0.005037783375314861,0.009539557364538286
218,48 St & 37 Ave,440,452,-12,892,-0.05240174672489083,0.056728567794454336
219,48 St & 5 Ave,222,212,10,434,0.02518891687657431,0.027601119308064106
220,48 St & 50 Ave,152,155,-3,307,-0.013100436681222707,0.019524294072755025
221,48 St & Barnett Ave,126,130,-4,256,-0.017467248908296942,0.016280844568812007
222,48 St & Broadway,575,564,11,1139,0.027707808564231738,0.07243703892139405
223,48 St & Skillman Ave,314,317,-3,631,-0.013100436681222707,0.04012973798015772
224,49 Ave & 21 St,495,508,-13,1003,-0.056768558951965066,0.06378784024421266
225,49 St & 25 Ave,137,97,40,234,0.10075566750629723,0.014881709488679725
226,49 St & 31 Ave,238,233,5,471,0.012594458438287154,0.029954210124650216
227,5 Av & W 139 St,466,466,0,932,0.0,0.059272449758331215
228,5 Ave & 3 St,1429,1445,-16,2874,-0.06986899563318777,0.18277791910455354
229,5 Ave & 37 St,223,241,-18,464,-0.07860262008733625,0.02950903078097176
230,5 Ave & 41 St,307,309,-2,616,-0.008733624454148471,0.03917578224370389
231,5 Ave & 66 St,131,137,-6,268,-0.026200873362445413,0.01704400915797507
232,5 Ave & E 103 St,1911,1942,-31,3853,-0.13537117903930132,0.24503943017044008
233,5 Ave & E 135 St,418,420,-2,838,-0.008733624454148471,0.053294327143220556
234,5 Ave & E 29 St,3132,3169,-37,6301,-0.1615720524017467,0.4007250063597049
235,5 Ave & E 63 St,1608,1632,-24,3240,-0.10480349344978165,0.20605443907402696
236,5 Ave & E 72 St,3012,3070,-58,6082,-0.25327510917030566,0.386797252607479
237,5 Ave & E 78 St,2430,2454,-24,4884,-0.10480349344978165,0.31060798778936655
238,5 Ave & E 87 St,2324,2336,-12,4660,-0.05240174672489083,0.29636224879165607
239,5 Ave & E 93 St,1559,1601,-42,3160,-0.18340611353711792,0.2009666751462732
240,5 Ave & W 126 St,655,654,1,1309,0.0025188916876574307,0.08324853726787076
241,5 Ave & W 131 St,297,288,9,585,0.022670025188916875,0.037204273721699314
242,5 St & 51 Ave,314,317,-3,631,-0.013100436681222707,0.04012973798015772
243,5 St & 6 Ave,526,527,-1,1053,-0.004366812227074236,0.06696769269905876
244,5 St & Market St,429,442,-13,871,-0.056768558951965066,0.05539302976341898
245,50 St & 30 Ave,212,214,-2,426,-0.008733624454148471,0.027092342915288732
246,50 St & 7 Ave,21,24,-3,45,-0.013100436681222707,0.0028618672093614858
247,50 St & Barnett Ave,283,280,3,563,0.007556675062972292,0.03580513864156703
248,50 St & Northern Blvd,308,309,-1,617,-0.004366812227074236,0.039239379292800816
249,51 St & 43 Ave,270,271,-1,541,-0.004366812227074236,0.03440600356143475
250,51 St & Hobart St,294,292,2,586,0.005037783375314861,0.037267870770796234
251,51 St & Queens Blvd,58,48,10,106,0.02518891687657431,0.0067412872042737215
252,52 St & 1 Ave,65,64,1,129,0.0025188916876574307,0.008204019333502925
253,52 St & 6 Ave,72,72,0,144,0.0,0.009157975069956754
254,53 St & 2 Ave,211,217,-6,428,-0.026200873362445413,0.027219537013482575
255,53 St & 4 Ave,385,388,-3,773,-0.013100436681222707,0.04916051895192063
256,53 St & 5 Ave,172,134,38,306,0.09571788413098237,0.019460697023658102
257,53 St & Roosevelt Ave,126,101,25,227,0.06297229219143577,0.014436530145001273
258,54 St & 37 Ave,54,60,-6,114,-0.026200873362445413,0.007250063597049097
259,55 St & 5 Ave,113,71,42,184,0.10579345088161209,0.01170185703383363
260,55 St & 7 Ave,142,147,-5,289,-0.021834061135371178,0.01837954718901043
261,55 St & Northern Blvd,123,122,1,245,0.0025188916876574307,0.015581277028745866
262,57 St & 1 Ave,142,147,-5,289,-0.021834061135371178,0.01837954718901043
263,57 St & 37 Ave,47,47,0,94,0.0,0.005978122615110659
264,57 St & 4 Ave,168,170,-2,338,-0.008733624454148471,0.021495802594759604
265,57 St & 43 Ave,76,72,4,148,0.010075566750629723,0.009412363266344441
266,58 St & 2 Ave,121,144,-23,265,-0.10043668122270742,0.016853218010684304
267,58 St & 32 Ave,108,110,-2,218,-0.008733624454148471,0.013864156703128974
268,58 St & Pier 4,102,123,-21,225,-0.09170305676855896,0.014309336046807428
269,59 St & 4 Ave,255,253,2,508,0.005037783375314861,0.03230730094123633
270,59 St & 5 Ave,140,135,5,275,0.012594458438287154,0.017489188501653524
271,6 Ave & 12 St,836,831,5,1667,0.012594458438287154,0.10601628084456881
272,6 Ave & 21 St,850,845,5,1695,0.012594458438287154,0.10779699821928262
273,6 Ave & 55 St,87,57,30,144,0.07556675062972293,0.009157975069956754
274,6 Ave & 60 St,78,85,-7,163,-0.03056768558951965,0.010366319002798271
275,6 Ave & 9 St,1562,1552,10,3114,0.02518891687657431,0.19804121088781482
276,6 Ave & Broome St,2300,2333,-33,4633,-0.14410480349344978,0.2946451284660392
277,6 Ave & Canal St,1073,1105,-32,2178,-0.13973799126637554,0.1385143729330959
278,6 Ave & W 33 St,5896,5921,-25,11817,-0.1091703056768559,0.7515263291783262
279,6 Ave & W 34 St,5061,5081,-20,10142,-0.08733624454148471,0.6450012719409819
280,6 Ave & W 45 St,3906,3976,-70,7882,-0.3056768558951965,0.5012719409819384
281,6 Ave & Walker St,1196,1204,-8,2400,-0.034934497816593885,0.15263291783261257
282,6 St & 7 Ave,1471,1474,-3,2945,-0.013100436681222707,0.187293309590435
283,60 St & 37 Ave,54,57,-3,111,-0.013100436681222707,0.007059272449758331
284,61 St & 39 Ave,316,312,4,628,0.010075566750629723,0.03993894683286695
285,61 St & Laurel Hill Blvd,82,80,2,162,0.005037783375314861,0.010302721953701348
286,61 St & Queens Blvd,119,119,0,238,0.0,0.015136097685067414
287,61 St & Woodside Ave,245,247,-2,492,-0.008733624454148471,0.031289748155685575
288,62 St & 34 Ave,104,92,12,196,0.030226700251889168,0.012465021622996692
289,62 St & 4 Ave,92,94,-2,186,-0.008733624454148471,0.011829051132027474
290,62 St & 43 Ave,54,48,6,102,0.015113350125944584,0.006486899007886034
291,62 St & Northern Blvd,291,281,10,572,0.02518891687657431,0.036377512083439326
292,63 St & 5 Ave,41,44,-3,85,-0.013100436681222707,0.005405749173238362
293,64 St & 3 Ave,15,16,-1,31,-0.004366812227074236,0.001971508522004579
294,65 Pl & Woodside Ave,79,81,-2,160,-0.008733624454148471,0.010175527855507505
295,65 St & 2 Ave,35,30,5,65,0.012594458438287154,0.004133808191299924
296,65 St & 35 Ave,138,137,1,275,0.0025188916876574307,0.017489188501653524
297,65 St & Broadway,121,117,4,238,0.010075566750629723,0.015136097685067414
298,65 St & Roosevelt Ave,83,89,-6,172,-0.026200873362445413,0.010938692444670568
299,67 St & Erik Pl,78,84,-6,162,-0.026200873362445413,0.010302721953701348
300,69 St & 43 Ave,116,116,0,232,0.0,0.01475451539048588
301,7 Ave & 17 St,392,400,-8,792,-0.034934497816593885,0.050368862884762146
302,7 Ave & 20 St,459,416,43,875,0.10831234256926953,0.05564741795980666
303,7 Ave & 22 St,276,229,47,505,0.11838790931989925,0.032116509793945563
304,7 Ave & 40 St,227,215,12,442,0.030226700251889168,0.02810989570083948
305,7 Ave & 41 St,395,348,47,743,0.11838790931989925,0.04725260747901298
306,7 Ave & 62 St,111,125,-14,236,-0.0611353711790393,0.01500890358687357
307,7 Ave & Central Park South,3662,3701,-39,7363,-0.1703056768558952,0.468265072500636
308,7 Ave & Park Pl,2216,2233,-17,4449,-0.07423580786026202,0.28294327143220555
309,7 Ave S & Bleecker St,2938,2956,-18,5894,-0.07860262008733625,0.3748410073772577
310,7 St & 3 Ave,739,750,-11,1489,-0.048034934497816595,0.09469600610531671
311,7 St & 5 Ave,792,787,5,1579,0.012594458438287154,0.10041974052403968
312,72 St & 41 Ave,263,253,10,516,0.02518891687657431,0.0328160773340117
313,72 St & Woodside Ave,120,109,11,229,0.027707808564231738,0.014563724243195115
314,76 St & 21 Ave,86,85,1,171,0.0025188916876574307,0.010875095395573645
315,8 Ave & W 16 St,4865,4864,1,9729,0.0025188916876574307,0.6187356906639532
316,8 Ave & W 24 St,2351,2366,-15,4717,-0.06550218340611354,0.2999872805901806
317,8 Ave & W 27 St,1804,1828,-24,3632,-0.10480349344978165,0.23098448232002036
318,8 Ave & W 31 St,4389,4415,-26,8804,-0.11353711790393013,0.5599084202493004
319,8 Ave & W 33 St,5761,5792,-31,11553,-0.13537117903930132,0.7347367082167388
320,8 Ave & W 38 St,4345,4375,-30,8720,-0.13100436681222707,0.554566268125159
321,8 Ave & W 49 St,3292,3299,-7,6591,-0.03056768558951965,0.41916815059781226
322,8 Ave & W 52 St,3274,3284,-10,6558,-0.043668122270742356,0.41706944797761386
323,8 St & Astoria Blvd,269,272,-3,541,-0.013100436681222707,0.03440600356143475
324,9 Ave & W 18 St,3427,3481,-54,6908,-0.23580786026200873,0.4393284151615365
325,9 Ave & W 204 St,18,19,-1,37,-0.004366812227074236,0.0023530908165861103
326,9 Ave & W 219 St,21,22,-1,43,-0.004366812227074236,0.002734673111167642
327,9 Ave & W 22 St,4875,4888,-13,9763,-0.056768558951965066,0.6208979903332486
328,9 Ave & W 39 St,2299,2303,-4,4602,-0.017467248908296942,0.2926736199440346
329,9 Ave & W 45 St,3485,3503,-18,6988,-0.07860262008733625,0.44441617908929026
330,9 St & 44 Rd,135,145,-10,280,-0.043668122270742356,0.01780717374713813
331,Academy St & Nagle Ave,56,57,-1,113,-0.004366812227074236,0.007186466547952175
332,Adam Clayton Powell Blvd & W 115 St,702,674,28,1376,0.07052896725440806,0.08750953955736454
333,Adam Clayton Powell Blvd & W 118 St,917,918,-1,1835,-0.004366812227074236,0.1167005850928517
334,Adam Clayton Powell Blvd & W 123 St,1010,1032,-22,2042,-0.09606986899563319,0.1298651742559145
