,hour,station_name,start_count,end_count,deficit,popularity
0,0,1 Ave & E 110 St,8.0,8.0,0.0,4.0
1,0,1 Ave & E 16 St,10.0,15.0,-2.0,6.0
2,0,1 Ave & E 18 St,12.0,20.0,-2.0,8.0
3,0,1 Ave & E 30 St,2.0,4.0,-1.0,1.0
4,0,1 Ave & E 39 St,3.0,9.0,-2.0,3.0
5,0,1 Ave & E 6 St,26.0,25.0,0.0,12.0
6,0,1 Ave & E 62 St,15.0,11.0,1.0,6.0
7,0,1 Ave & E 68 St,10.0,17.0,-2.0,6.0
8,0,1 Ave & E 78 St,10.0,17.0,-2.0,6.0
9,0,1 Ave & E 94 St,1.0,5.0,-1.0,1.0
10,0,1 Pl & Clinton St,1.0,3.0,-1.0,1.0
11,0,1 St & 6 Ave,1.0,7.0,-2.0,2.0
12,0,10 Ave & W 14 St,17.0,8.0,2.0,6.0
13,0,10 Ave & W 207 St,4.0,0.0,1.0,1.0
14,0,10 Ave & W 28 St,12.0,16.0,-1.0,7.0
15,0,10 St & 5 Ave,5.0,2.0,0.0,1.0
16,0,10 St & 7 Ave,6.0,10.0,-1.0,4.0
17,0,11 Ave & Prospect Ave,3.0,2.0,0.0,1.0
18,0,11 Ave & W 27 St,16.0,17.0,-1.0,8.0
19,0,11 Ave & W 41 St,14.0,31.0,-5.0,11.0
20,0,11 Ave & W 59 St,3.0,9.0,-2.0,3.0
21,0,11 St & 43 Ave,1.0,1.0,0.0,0.0
22,0,12 Ave & W 125 St,2.0,4.0,-1.0,1.0
23,0,12 Ave & W 40 St,20.0,16.0,1.0,9.0
24,0,12 St & 4 Ave,1.0,7.0,-2.0,2.0
25,0,14 St & 5 Ave,2.0,4.0,-1.0,1.0
26,0,14 St & 7 Ave,2.0,5.0,-1.0,1.0
27,0,17 St & 5 Ave,1.0,4.0,-1.0,1.0
28,0,18 St & 27 Ave,1.0,4.0,-1.0,1.0
29,0,19 St & 24 Ave,2.0,2.0,0.0,1.0
30,0,2 Ave & 36 St,1.0,3.0,-1.0,1.0
31,0,2 Ave & E 104 St,1.0,5.0,-1.0,1.0
32,0,2 Ave & E 122 St,2.0,5.0,-1.0,1.0
33,0,2 Ave & E 125 St,6.0,3.0,0.0,2.0
34,0,2 Ave & E 29 St,19.0,22.0,-1.0,10.0
35,0,2 Ave & E 31 St,15.0,8.0,1.0,5.0
36,0,2 Ave & E 55 St,3.0,3.0,0.0,1.0
37,0,2 Ave & E 72 St,3.0,14.0,-3.0,4.0
38,0,2 Ave & E 96 St,6.0,9.0,-1.0,3.0
39,0,2 Ave & E 99 St,2.0,8.0,-2.0,2.0
40,0,20 Ave & 21 St,1.0,1.0,0.0,0.0
41,0,20 Ave & Shore Blvd,1.0,0.0,0.0,0.0
42,0,21 Ave & Crescent St,1.0,6.0,-2.0,1.0
43,0,21 St & 31 Dr,1.0,4.0,-1.0,1.0
44,0,21 St & 36 Ave,1.0,6.0,-2.0,1.0
45,0,21 St & 4 Ave,2.0,3.0,-1.0,1.0
46,0,21 St & 43 Ave,3.0,1.0,0.0,1.0
47,0,21 St & Queens Plaza North,2.0,2.0,0.0,1.0
48,0,23 Rd & 31 St,1.0,2.0,-1.0,0.0
49,0,24 Ave & 26 St,2.0,4.0,-1.0,1.0
50,0,24 St & 38 Ave,2.0,1.0,0.0,0.0
51,0,24 St & 41 Ave,2.0,1.0,0.0,0.0
52,0,24 St & 5 Ave,1.0,3.0,-1.0,1.0
53,0,27 Ave & 9 St,1.0,6.0,-2.0,1.0
54,0,27 St & Hunter St,10.0,16.0,-2.0,6.0
55,0,28 Ave & 35 St,3.0,5.0,-1.0,2.0
56,0,28 St & 36 Ave,2.0,2.0,0.0,1.0
57,0,28 St & 41 Ave,6.0,5.0,0.0,2.0
58,0,3 Ave & 14 St,2.0,1.0,0.0,0.0
59,0,3 Ave & Carroll St,2.0,3.0,-1.0,1.0
60,0,3 Ave & E 100 St,2.0,6.0,-1.0,2.0
61,0,3 Ave & E 112 St,1.0,3.0,-1.0,1.0
62,0,3 Ave & E 163 St,3.0,6.0,-1.0,2.0
63,0,3 Ave & E 169 St,4.0,14.0,-3.0,4.0
64,0,3 Ave & E 170 St,1.0,9.0,-2.0,2.0
65,0,3 Ave & E 174 St,3.0,6.0,-1.0,2.0
66,0,3 Ave & E 62 St,8.0,7.0,0.0,3.0
67,0,3 Ave & E 71 St,7.0,6.0,0.0,3.0
68,0,3 Ave & Schermerhorn St,3.0,5.0,-1.0,2.0
69,0,3 Ave & Wakeman Pl,2.0,0.0,0.0,0.0
70,0,3 St & 3 Ave,1.0,1.0,0.0,0.0
71,0,3 St & 7 Ave,3.0,5.0,-1.0,2.0
72,0,3 St & Hoyt St,2.0,2.0,0.0,1.0
73,0,3 St & Prospect Park West,5.0,8.0,-1.0,3.0
