,hour,station_name,start_count,end_count,deficit,popularity
0,0,1 Ave & E 110 St,2.0,5.0,-1.0,1.0
1,0,1 Ave & E 16 St,9.0,31.0,-6.0,10.0
2,0,1 Ave & E 18 St,18.0,22.0,-1.0,10.0
3,0,1 Ave & E 30 St,10.0,12.0,-1.0,5.0
4,0,1 Ave & E 39 St,13.0,30.0,-5.0,10.0
5,0,1 Ave & E 44 St,9.0,16.0,-2.0,6.0
6,0,1 Ave & E 6 St,15.0,23.0,-2.0,9.0
7,0,1 Ave & E 62 St,21.0,17.0,1.0,9.0
8,0,1 Ave & E 68 St,20.0,22.0,-1.0,10.0
9,0,1 Ave & E 78 St,10.0,13.0,-1.0,5.0
10,0,1 Ave & E 94 St,2.0,5.0,-1.0,1.0
11,0,1 St & 6 Ave,2.0,1.0,0.0,0.0
12,0,10 Ave & W 14 St,14.0,13.0,0.0,6.0
13,0,10 Ave & W 204 St,2.0,2.0,0.0,1.0
14,0,10 Ave & W 207 St,5.0,0.0,1.0,1.0
15,0,10 Ave & W 28 St,25.0,39.0,-4.0,16.0
16,0,10 St & 5 Ave,2.0,1.0,0.0,0.0
17,0,10 St & 7 Ave,6.0,3.0,0.0,2.0
18,0,11 Ave & W 27 St,20.0,16.0,1.0,9.0
19,0,11 Ave & W 41 St,20.0,23.0,-1.0,10.0
20,0,11 Ave & W 59 St,1.0,6.0,-2.0,1.0
21,0,12 Ave & 36 St,4.0,3.0,0.0,1.0
22,0,12 Ave & W 125 St,1.0,5.0,-1.0,1.0
23,0,12 Ave & W 40 St,20.0,21.0,-1.0,10.0
24,0,14 St & 5 Ave,4.0,6.0,-1.0,2.0
25,0,14 St & 7 Ave,2.0,5.0,-1.0,1.0
26,0,17 St & 5 Ave,2.0,3.0,-1.0,1.0
27,0,19 St & 24 Ave,2.0,4.0,-1.0,1.0
28,0,2 Ave & E 104 St,2.0,11.0,-3.0,3.0
29,0,2 Ave & E 122 St,2.0,5.0,-1.0,1.0
30,0,2 Ave & E 125 St,4.0,5.0,-1.0,2.0
31,0,2 Ave & E 29 St,12.0,31.0,-5.0,10.0
32,0,2 Ave & E 31 St,17.0,19.0,-1.0,9.0
33,0,2 Ave & E 55 St,10.0,8.0,0.0,4.0
34,0,2 Ave & E 72 St,11.0,15.0,-1.0,6.0
35,0,2 Ave & E 96 St,7.0,8.0,-1.0,3.0
36,0,2 Ave & E 99 St,5.0,15.0,-3.0,5.0
37,0,20 Ave & 21 St,2.0,3.0,-1.0,1.0
38,0,20 Ave & 42 St,1.0,1.0,0.0,0.0
39,0,21 Ave & Shore Blvd,10.0,15.0,-2.0,6.0
40,0,21 St & 21 Ave,7.0,7.0,0.0,3.0
41,0,21 St & 31 Dr,3.0,8.0,-2.0,2.0
42,0,21 St & 38 Ave,1.0,2.0,-1.0,0.0
43,0,21 St & 4 Ave,2.0,0.0,0.0,0.0
44,0,21 St & Hoyt Ave S,2.0,7.0,-2.0,2.0
45,0,21 St & Queens Plaza North,6.0,4.0,0.0,2.0
46,0,23 Rd & 31 St,2.0,4.0,-1.0,1.0
47,0,24 Ave & 26 St,2.0,1.0,0.0,0.0
48,0,24 Ave & 29 St,2.0,3.0,-1.0,1.0
49,0,24 St & 38 Ave,1.0,0.0,0.0,0.0
50,0,24 St & 41 Ave,3.0,0.0,0.0,0.0
51,0,24 St & 5 Ave,1.0,1.0,0.0,0.0
52,0,27 Ave & 9 St,1.0,4.0,-1.0,1.0
53,0,27 St & Hunter St,3.0,3.0,0.0,1.0
54,0,28 Ave & 35 St,2.0,0.0,0.0,0.0
55,0,28 St & 36 Ave,3.0,6.0,-1.0,2.0
56,0,28 St & 41 Ave,2.0,8.0,-2.0,2.0
57,0,29 St & 5 Ave,3.0,1.0,0.0,1.0
58,0,3 Ave & Carroll St,1.0,2.0,-1.0,0.0
59,0,3 Ave & E 100 St,2.0,8.0,-2.0,2.0
60,0,3 Ave & E 112 St,4.0,9.0,-2.0,3.0
61,0,3 Ave & E 163 St,2.0,10.0,-2.0,3.0
62,0,3 Ave & E 169 St,9.0,24.0,-4.0,8.0
63,0,3 Ave & E 170 St,3.0,7.0,-1.0,2.0
64,0,3 Ave & E 174 St,3.0,4.0,-1.0,1.0
65,0,3 Ave & E 62 St,8.0,7.0,0.0,3.0
66,0,3 Ave & E 71 St,5.0,4.0,0.0,2.0
67,0,3 Ave & Schermerhorn St,5.0,4.0,0.0,2.0
68,0,3 St & 3 Ave,1.0,2.0,-1.0,0.0
69,0,3 St & 7 Ave,2.0,3.0,-1.0,1.0
70,0,3 St & Hoyt St,2.0,1.0,0.0,0.0
71,0,3 St & Prospect Park West,6.0,10.0,-1.0,4.0
72,0,30 Ave & 12 St,1.0,1.0,0.0,0.0
73,0,30 Ave & 21 St,2.0,4.0,-1.0,1.0
74,0,30 Ave & 41 St,5.0,9.0,-1.0,3.0
75,0,31 Ave & 14 St,2.0,4.0,-1.0,1.0
76,0,31 Ave & 30 St,4.0,4.0,0.0,2.0
77,0,31 Ave & 34 St,2.0,11.0,-3.0,3.0
78,0,31 Ave & Crescent St,1.0,8.0,-2.0,2.0
79,0,31 Ave & Steinway St,1.0,3.0,-1.0,1.0
80,0,31 Rd & 21 St,1.0,1.0,0.0,0.0
81,0,31 St & 21 Ave,6.0,7.0,-1.0,3.0
82,0,31 St & 23 Ave,1.0,0.0,0.0,0.0
83,0,31 St & Broadway,12.0,9.0,0.0,5.0
84,0,31 St & Ditmars Blvd,7.0,5.0,0.0,3.0
85,0,31 St & Hoyt Ave N,4.0,1.0,0.0,1.0
86,0,31 St & Newtown Ave,10.0,8.0,0.0,4.0
87,0,31 St & Northern Blvd,2.0,3.0,-1.0,1.0
88,0,34 Ave & 31 St,2.0,3.0,-1.0,1.0
89,0,34 Ave & 38 St,3.0,2.0,0.0,1.0
90,0,34 St & 35 Ave,1.0,4.0,-1.0,1.0
91,0,34 St & 48 Ave,1.0,0.0,0.0,0.0
92,0,34th Ave & Vernon Blvd,2.0,4.0,-1.0,1.0
93,0,35 Ave & 37 St,2.0,0.0,0.0,0.0
94,0,35 St & 30 Ave,3.0,7.0,-1.0,2.0
95,0,35 St & 34 Ave,2.0,3.0,-1.0,1.0
96,0,35 St & Broadway,3.0,4.0,-1.0,1.0
97,0,36 Ave & 10 St,2.0,6.0,-1.0,2.0
98,0,36 Ave & 31 St,3.0,2.0,0.0,1.0
99,0,36 St & 3 Ave,2.0,0.0,0.0,0.0
100,0,36 St & 4 Ave,5.0,12.0,-2.0,4.0
101,0,36 St & Ditmars Blvd,8.0,3.0,1.0,2.0
102,0,37 St & 24 Ave,2.0,6.0,-1.0,2.0
103,0,38 Ave & 29 St,3.0,3.0,0.0,1.0
104,0,38 St & 30 Ave,6.0,5.0,0.0,2.0
105,0,39 Ave & 56 St,2.0,4.0,-1.0,1.0
106,0,39 St & 47 Ave,2.0,2.0,0.0,1.0
107,0,39 St & Queens Blvd,1.0,4.0,-1.0,1.0
108,0,4 Ave & 26 St,1.0,4.0,-1.0,1.0
109,0,4 Ave & 3 St,1.0,0.0,0.0,0.0
110,0,4 Ave & 9 St,2.0,10.0,-2.0,3.0
111,0,4 Ave & E 12 St,6.0,18.0,-3.0,6.0
112,0,4 Ave & Shore Road Dr,2.0,1.0,0.0,0.0
113,0,42 Pl & Northern Blvd,1.0,0.0,0.0,0.0
114,0,42 St & 1 Ave,1.0,0.0,0.0,0.0
115,0,43 Ave & 42 St,5.0,6.0,-1.0,2.0
116,0,43 St & Skillman Ave,1.0,3.0,-1.0,1.0
117,0,44 Dr & Jackson Ave,8.0,16.0,-2.0,6.0
118,0,44 St & 48 Ave,1.0,2.0,-1.0,0.0
119,0,44 St & 6 Ave,1.0,3.0,-1.0,1.0
120,0,45 Ave & 21 St,1.0,2.0,-1.0,0.0
121,0,45 Rd & 11 St,1.0,2.0,-1.0,0.0
122,0,45 St & 4 Ave,2.0,6.0,-1.0,2.0
123,0,46 Ave & 5 St,8.0,7.0,0.0,3.0
124,0,46 St & 25 Ave,4.0,1.0,0.0,1.0
125,0,46 St & 28 Ave,3.0,2.0,0.0,1.0
126,0,46 St & 30 Rd,1.0,1.0,0.0,0.0
127,0,46 St & Queens Blvd,4.0,4.0,0.0,2.0
128,0,47 Ave & 48 St,1.0,4.0,-1.0,1.0
129,0,47 Ave & Skillman Ave,1.0,1.0,0.0,0.0
130,0,47 St & 3 Ave,1.0,4.0,-1.0,1.0
131,0,48 Ave & 37 St,1.0,1.0,0.0,0.0
132,0,48 Ave & 5 St,8.0,6.0,0.0,3.0
133,0,48 St & 50 Ave,2.0,1.0,0.0,0.0
134,0,48 St & Broadway,2.0,4.0,-1.0,1.0
135,0,49 Ave & 21 St,3.0,3.0,0.0,1.0
136,0,49 St & 31 Ave,2.0,2.0,0.0,1.0
137,0,5 Av & W 139 St,1.0,11.0,-3.0,3.0
138,0,5 Ave & 3 St,2.0,6.0,-1.0,2.0
139,0,5 Ave & 37 St,2.0,3.0,-1.0,1.0
140,0,5 Ave & 66 St,1.0,2.0,-1.0,0.0
141,0,5 Ave & E 103 St,7.0,11.0,-1.0,4.0
142,0,5 Ave & E 135 St,2.0,4.0,-1.0,1.0
143,0,5 Ave & E 72 St,5.0,6.0,-1.0,2.0
144,0,5 Ave & E 78 St,10.0,12.0,-1.0,5.0
145,0,5 Ave & E 87 St,5.0,7.0,-1.0,3.0
146,0,5 Ave & E 93 St,4.0,6.0,-1.0,2.0
147,0,5 Ave & W 126 St,5.0,14.0,-3.0,4.0
148,0,5 Ave & W 131 St,1.0,12.0,-3.0,3.0
149,0,5 St & 51 Ave,1.0,0.0,0.0,0.0
150,0,50 St & 30 Ave,1.0,2.0,-1.0,0.0
151,0,50 St & Barnett Ave,2.0,4.0,-1.0,1.0
152,0,51 St & 43 Ave,2.0,2.0,0.0,1.0
153,0,51 St & Hobart St,1.0,2.0,-1.0,0.0
154,0,55 St & Northern Blvd,1.0,1.0,0.0,0.0
155,0,57 St & 4 Ave,2.0,0.0,0.0,0.0
156,0,59 St & 4 Ave,2.0,2.0,0.0,1.0
157,0,6 Ave & 12 St,2.0,5.0,-1.0,1.0
158,0,6 Ave & 21 St,3.0,10.0,-2.0,3.0
159,0,6 Ave & 9 St,4.0,9.0,-2.0,3.0
160,0,6 Ave & Broome St,18.0,11.0,1.0,7.0
161,0,6 Ave & Canal St,9.0,11.0,-1.0,5.0
162,0,6 Ave & W 33 St,36.0,29.0,1.0,16.0
163,0,6 Ave & W 34 St,22.0,9.0,3.0,7.0
164,0,6 Ave & W 45 St,8.0,14.0,-2.0,5.0
165,0,6 Ave & Walker St,24.0,10.0,3.0,8.0
166,0,6 St & 7 Ave,2.0,5.0,-1.0,1.0
167,0,62 St & Northern Blvd,1.0,7.0,-2.0,2.0
168,0,7 Ave & 17 St,3.0,2.0,0.0,1.0
169,0,7 Ave & 41 St,1.0,1.0,0.0,0.0
170,0,7 Ave & Central Park South,12.0,17.0,-2.0,7.0
171,0,7 Ave & Park Pl,4.0,7.0,-1.0,2.0
172,0,7 Ave S & Bleecker St,25.0,22.0,0.0,11.0
173,0,8 Ave & W 16 St,18.0,28.0,-3.0,11.0
174,0,8 Ave & W 24 St,13.0,13.0,0.0,6.0
175,0,8 Ave & W 27 St,9.0,12.0,-1.0,5.0
176,0,8 Ave & W 31 St,21.0,28.0,-2.0,12.0
177,0,8 Ave & W 33 St,19.0,15.0,1.0,8.0
178,0,8 Ave & W 38 St,9.0,22.0,-4.0,7.0
179,0,8 Ave & W 52 St,21.0,45.0,-6.0,16.0
180,0,9 Ave & W 18 St,16.0,22.0,-2.0,9.0
181,0,9 Ave & W 22 St,17.0,17.0,0.0,8.0
