,start_station_name,start_count,end_count,deficit,popularity
0,1 Ave & E 110 St,958.0,968,-10.0,1926.0
1,1 Ave & E 16 St,5504.0,5449,55.0,10953.0
2,1 Ave & E 18 St,4326.0,4207,119.0,8533.0
3,1 Ave & E 30 St,3040.0,3030,10.0,6070.0
4,1 Ave & E 44 St,2750.0,2772,-22.0,5522.0
5,1 Ave & E 62 St,3196.0,3203,-7.0,6399.0
6,1 Ave & E 68 St,4478.0,4494,-16.0,8972.0
7,1 Ave & E 78 St,3381.0,3393,-12.0,6774.0
8,1 Ave & E 94 St,1137.0,1148,-11.0,2285.0
9,1 Pl & Clinton St,759.0,768,-9.0,1527.0
10,10 Hudson Yards,285.0,307,-22.0,592.0
11,10 St & 5 Ave,476.0,490,-14.0,966.0
12,10 St & 7 Ave,844.0,768,76.0,1612.0
13,11 Ave & W 27 St,3856.0,3868,-12.0,7724.0
14,11 Ave & W 41 St,3649.0,3656,-7.0,7305.0
15,11 Ave & W 59 St,3249.0,3246,3.0,6495.0
16,11 St & 35 Ave,96.0,92,4.0,188.0
17,11 St & 43 Ave,202.0,197,5.0,399.0
18,12 Ave & W 40 St,4275.0,4654,-379.0,8929.0
19,12 St & 4 Ave,267.0,273,-6.0,540.0
20,14 St & 5 Ave,644.0,649,-5.0,1293.0
21,14 St & 7 Ave,927.0,845,82.0,1772.0
22,19 St & 24 Ave,330.0,320,10.0,650.0
23,2 Ave & 36 St - Citi Bike HQ at Industry City,386.0,511,-125.0,897.0
24,2 Ave & 9 St,254.0,252,2.0,506.0
25,2 Ave & E 104 St,882.0,911,-29.0,1793.0
26,2 Ave & E 122 St,374.0,384,-10.0,758.0
27,2 Ave & E 31 St,4276.0,4259,17.0,8535.0
28,2 Ave & E 72 St,1944.0,1950,-6.0,3894.0
29,2 Ave & E 96 St,1692.0,1739,-47.0,3431.0
30,2 Ave & E 99 St,507.0,520,-13.0,1027.0
31,21 St & 31 Dr,369.0,383,-14.0,752.0
32,21 St & 36 Ave,111.0,114,-3.0,225.0
33,21 St & 38 Ave,85.0,81,4.0,166.0
34,21 St & 43 Ave,254.0,238,16.0,492.0
35,21 St & Hoyt Ave S,155.0,155,0.0,310.0
36,21 St & Queens Plaza North,670.0,650,20.0,1320.0
37,23 Ave & 27 St,169.0,175,-6.0,344.0
38,24 Ave & 26 St,360.0,352,8.0,712.0
39,24 Ave & 29 St,274.0,277,-3.0,551.0
40,24 St & 41 Ave,442.0,444,-2.0,886.0
41,27 Ave & 4 St,79.0,74,5.0,153.0
42,27 Ave & 9 St,159.0,160,-1.0,319.0
43,27 St & Hunter St,536.0,481,55.0,1017.0
44,28 Ave & 35 St,390.0,394,-4.0,784.0
45,28 Ave & 44 St,288.0,294,-6.0,582.0
46,28 St & 36 Ave,216.0,210,6.0,426.0
47,28 St & 38 Ave,352.0,345,7.0,697.0
48,28 St & 41 Ave,645.0,633,12.0,1278.0
49,3 Ave & 14 St,368.0,366,2.0,734.0
50,3 Ave & E 100 St,302.0,326,-24.0,628.0
51,3 Ave & E 112 St,321.0,321,0.0,642.0
52,3 Ave & E 62 St,1404.0,1354,50.0,2758.0
53,3 Ave & E 71 St,686.0,686,0.0,1372.0
54,3 Ave & E 72 St,843.0,840,3.0,1683.0
