,start_station_name,start_count,end_count,deficit,popularity
0,1 Ave & E 110 St,1465.0,1495.0,-30.0,2960.0
1,1 Ave & E 16 St,5165.0,5165.0,0.0,10330.0
2,1 Ave & E 18 St,5067.0,5093.0,-26.0,10160.0
3,1 Ave & E 30 St,3401.0,3419.0,-18.0,6820.0
4,1 Ave & E 39 St,3479.0,3541.0,-62.0,7020.0
5,1 Ave & E 44 St,2285.0,2289.0,-4.0,4574.0
6,1 Ave & E 6 St,3789.0,3838.0,-49.0,7627.0
7,1 Ave & E 62 St,4600.0,4634.0,-34.0,9234.0
8,1 Ave & E 68 St,8132.0,8142.0,-10.0,16274.0
9,1 Ave & E 78 St,5019.0,5038.0,-19.0,10057.0
10,1 Ave & E 94 St,1433.0,1436.0,-3.0,2869.0
11,1 Pl & Clinton St,893.0,898.0,-5.0,1791.0
12,1 St & 6 Ave,889.0,904.0,-15.0,1793.0
13,10 Ave & W 14 St,3462.0,3554.0,-92.0,7016.0
14,10 Ave & W 202 St,57.0,68.0,-11.0,125.0
15,10 Ave & W 204 St,38.0,37.0,1.0,75.0
16,10 Ave & W 207 St,151.0,159.0,-8.0,310.0
17,10 Ave & W 215 St,55.0,57.0,-2.0,112.0
18,10 Ave & W 28 St,5042.0,5144.0,-102.0,10186.0
19,10 St & 2 Ave,481.0,528.0,-47.0,1009.0
20,10 St & 5 Ave,698.0,705.0,-7.0,1403.0
21,10 St & 7 Ave,1418.0,1414.0,4.0,2832.0
22,11 Ave & Prospect Ave,490.0,500.0,-10.0,990.0
23,11 Ave & W 27 St,3295.0,3292.0,3.0,6587.0
24,11 Ave & W 41 St,5760.0,5740.0,20.0,11500.0
25,11 Ave & W 59 St,2991.0,2986.0,5.0,5977.0
26,11 St & 43 Ave,276.0,290.0,-14.0,566.0
27,12 Ave & 36 St,133.0,127.0,6.0,260.0
28,12 Ave & W 125 St,1306.0,1318.0,-12.0,2624.0
29,12 Ave & W 40 St,4571.0,4675.0,-104.0,9246.0
30,12 St & 4 Ave,530.0,535.0,-5.0,1065.0
31,14 St & 5 Ave,1035.0,1030.0,5.0,2065.0
32,14 St & 7 Ave,1008.0,994.0,14.0,2002.0
33,16th St & 4th Ave,333.0,349.0,-16.0,682.0
34,17 St & 5 Ave,826.0,846.0,-20.0,1672.0
35,18 St & 27 Ave,543.0,539.0,4.0,1082.0
36,19 St & 24 Ave,413.0,415.0,-2.0,828.0
37,19 St & 8 Ave,192.0,114.0,78.0,306.0
38,2 Av & 37 St,27.0,47.0,-20.0,74.0
39,2 Ave & 32 St,86.0,120.0,-34.0,206.0
40,2 Ave & 36 St,212.0,225.0,-13.0,437.0
41,2 Ave & E 104 St,999.0,999.0,0.0,1998.0
42,2 Ave & E 122 St,580.0,588.0,-8.0,1168.0
43,2 Ave & E 125 St,629.0,630.0,-1.0,1259.0
44,2 Ave & E 29 St,5057.0,4867.0,190.0,9924.0
45,2 Ave & E 31 St,3945.0,3966.0,-21.0,7911.0
46,2 Ave & E 55 St,1827.0,1792.0,35.0,3619.0
47,2 Ave & E 72 St,4180.0,4074.0,106.0,8254.0
48,2 Ave & E 96 St,2689.0,2700.0,-11.0,5389.0
49,2 Ave & E 99 St,937.0,919.0,18.0,1856.0
50,20 Ave & 21 St,98.0,100.0,-2.0,198.0
51,20 Ave & 31 St,2.0,,,
52,20 Ave & 33 St,124.0,132.0,-8.0,256.0
53,20 Ave & 38 St,385.0,388.0,-3.0,773.0
54,20 Ave & 42 St,135.0,133.0,2.0,268.0
55,20 Ave & 48 St,68.0,71.0,-3.0,139.0
56,20 Ave & Shore Blvd,63.0,74.0,-11.0,137.0
57,21 Ave & 80 St,95.0,98.0,-3.0,193.0
58,21 Ave & Crescent St,364.0,374.0,-10.0,738.0
59,21 Ave & Shore Blvd,176.0,184.0,-8.0,360.0
60,21 St & 21 Ave,288.0,295.0,-7.0,583.0
61,21 St & 23 Ave,231.0,234.0,-3.0,465.0
62,21 St & 31 Dr,538.0,545.0,-7.0,1083.0
63,21 St & 36 Ave,304.0,296.0,8.0,600.0
64,21 St & 38 Ave,144.0,145.0,-1.0,289.0
65,21 St & 4 Ave,443.0,462.0,-19.0,905.0
66,21 St & 43 Ave,426.0,425.0,1.0,851.0
67,21 St & Hoyt Ave S,542.0,524.0,18.0,1066.0
68,21 St & Queens Plaza North,771.0,794.0,-23.0,1565.0
69,23 Ave & 27 St,329.0,335.0,-6.0,664.0
70,23 Rd & 31 St,139.0,146.0,-7.0,285.0
71,23 St & 3 Ave,62.0,83.0,-21.0,145.0
72,24 Ave & 26 St,426.0,429.0,-3.0,855.0
73,24 Ave & 29 St,414.0,420.0,-6.0,834.0
74,24 St & 38 Ave,351.0,358.0,-7.0,709.0
75,24 St & 41 Ave,715.0,640.0,75.0,1355.0
76,24 St & 5 Ave,308.0,312.0,-4.0,620.0
77,25 Ave & 41 St,570.0,509.0,61.0,1079.0
78,27 Ave & 3 St,151.0,153.0,-2.0,304.0
79,27 Ave & 9 St,355.0,358.0,-3.0,713.0
80,27 St & Hunter St,1016.0,1009.0,7.0,2025.0
81,28 Ave & 35 St,514.0,523.0,-9.0,1037.0
82,28 Ave & 44 St,315.0,316.0,-1.0,631.0
83,28 St & 36 Ave,458.0,423.0,35.0,881.0
84,28 St & 41 Ave,965.0,983.0,-18.0,1948.0
85,29 St & 5 Ave,97.0,123.0,-26.0,220.0
86,3 Ave & 14 St,431.0,443.0,-12.0,874.0
87,3 Ave & 17 St,106.0,114.0,-8.0,220.0
88,3 Ave & Carroll St,477.0,525.0,-48.0,1002.0
89,3 Ave & E 100 St,594.0,587.0,7.0,1181.0
90,3 Ave & E 112 St,626.0,658.0,-32.0,1284.0
91,3 Ave & E 163 St,168.0,159.0,9.0,327.0
92,3 Ave & E 169 St,136.0,125.0,11.0,261.0
93,3 Ave & E 170 St,115.0,118.0,-3.0,233.0
94,3 Ave & E 172 St,83.0,86.0,-3.0,169.0
95,3 Ave & E 174 St - Bathgate Vaccination Site,168.0,173.0,-5.0,341.0
96,3 Ave & E 62 St,2099.0,2061.0,38.0,4160.0
97,3 Ave & E 71 St,1202.0,1177.0,25.0,2379.0
98,3 Ave & E 72 St,1434.0,1427.0,7.0,2861.0
99,3 Ave & Franklin Ave,102.0,101.0,1.0,203.0
100,3 Ave & Schermerhorn St,1177.0,1214.0,-37.0,2391.0
101,3 Ave & Wakeman Pl,84.0,90.0,-6.0,174.0
102,3 St & 3 Ave,782.0,790.0,-8.0,1572.0
103,3 St & 7 Ave,1586.0,1632.0,-46.0,3218.0
104,3 St & Hoyt St,597.0,636.0,-39.0,1233.0
105,3 St & Prospect Park West,1926.0,1716.0,210.0,3642.0
106,30 Ave & 21 St,405.0,407.0,-2.0,812.0
107,30 Ave & 41 St,544.0,551.0,-7.0,1095.0
108,30 Ave & 47 St,289.0,291.0,-2.0,580.0
109,30 St & 4 Ave,265.0,310.0,-45.0,575.0
