,hour,station_name,start_count,end_count,deficit
113,0,34 Ave & 31 St,12.0,21.0,-9.0
114,0,34 Ave & 38 St,15.0,8.0,7.0
115,0,34 Ave & 48 St,2.0,2.0,0.0
116,0,34 St & 35 Ave,4.0,5.0,-1.0
117,0,34 St & 38 Ave,4.0,4.0,0.0
118,0,34 St & 4 Ave,3.0,6.0,-3.0
119,0,34 St & 48 Ave,15.0,1.0,14.0
120,0,34 St & 5 Ave,2.0,4.0,-2.0
121,0,34th Ave & Vernon Blvd,2.0,4.0,-2.0
122,0,35 Ave & 10 St,4.0,14.0,-10.0
123,0,35 Ave & 37 St,5.0,3.0,2.0
124,0,35 St & 23 Ave,8.0,9.0,-1.0
125,0,35 St & 30 Ave,16.0,13.0,3.0
126,0,35 St & 34 Ave,3.0,9.0,-6.0
127,0,35 St & Broadway,16.0,10.0,6.0
128,0,36 Ave & 10 St,1.0,13.0,-12.0
129,0,36 Ave & 31 St,20.0,5.0,15.0
130,0,36 St & 3 Ave,1.0,0.0,1.0
131,0,36 St & 4 Ave,8.0,9.0,-1.0
132,0,36 St & 47 Ave,2.0,3.0,-1.0
133,0,36 St & Ditmars Blvd,23.0,13.0,10.0
134,0,36 St & Hunters Point Ave,4.0,2.0,2.0
135,0,37 Ave & 35 St,3.0,2.0,1.0
136,0,37 Ave & 63 St,1.0,1.0,0.0
137,0,37 St & 24 Ave,4.0,15.0,-11.0
138,0,38 Ave & 29 St,6.0,10.0,-4.0
139,0,38 St & 30 Ave,3.0,5.0,-2.0
140,0,38 St & Northern Blvd,1.0,4.0,-3.0
141,0,39 Ave & 56 St,3.0,4.0,-1.0
142,0,39 Dr & 52 St,1.0,2.0,-1.0
143,0,39 St & 47 Ave,2.0,6.0,-4.0
144,0,39 St & 50 Ave,7.0,7.0,0.0
145,0,39 St & Queens Blvd,7.0,5.0,2.0
146,0,4 Ave & 17 St,12.0,22.0,-10.0
147,0,4 Ave & 26 St,4.0,7.0,-3.0
148,0,4 Ave & 3 St,7.0,8.0,-1.0
149,0,4 Ave & 9 St,32.0,20.0,12.0
150,0,4 Ave & E 12 St,37.0,31.0,6.0
151,0,4 Ave & Shore Road Dr,3.0,5.0,-2.0
152,0,40 Ave & Crescent St,8.0,6.0,2.0
153,0,40 St & Queens Blvd,11.0,21.0,-10.0
154,0,41 St & 4 Ave,3.0,2.0,1.0
155,0,42 Pl & Northern Blvd,6.0,7.0,-1.0
156,0,43 Ave & 42 St,5.0,12.0,-7.0
157,0,43 Ave & 47 St,2.0,1.0,1.0
158,0,43 St & 23 Ave,1.0,2.0,-1.0
159,0,43 St & 35 Ave,4.0,7.0,-3.0
160,0,43 St & 37 Ave,3.0,0.0,3.0
161,0,43 St & 50 Ave,5.0,11.0,-6.0
162,0,43 St & Broadway,13.0,18.0,-5.0
163,0,43 St & Skillman Ave,2.0,3.0,-1.0
164,0,44 Dr & Jackson Ave,19.0,17.0,2.0
165,0,44 St & 48 Ave,2.0,6.0,-4.0
166,0,44 St & Greenpoint Ave,4.0,3.0,1.0
167,0,45 Ave & 21 St,4.0,4.0,0.0
168,0,45 Rd & 11 St,12.0,7.0,5.0
169,0,45 St & 4 Ave,5.0,5.0,0.0
170,0,46 Ave & 5 St,10.0,14.0,-4.0
171,0,46 St & 25 Ave,2.0,2.0,0.0
172,0,46 St & 28 Ave,2.0,10.0,-8.0
173,0,46 St & 30 Rd,3.0,1.0,2.0
174,0,46 St & 6 Ave,1.0,3.0,-2.0
175,0,46 St & 7 Ave,3.0,7.0,-4.0
176,0,46 St & Queens Blvd,3.0,2.0,1.0
177,0,47 Ave & 48 St,3.0,0.0,3.0
178,0,48 Ave & 37 St,3.0,2.0,1.0
179,0,48 Ave & 5 St,10.0,4.0,6.0
180,0,48 St & 37 Ave,1.0,0.0,1.0
181,0,48 St & 5 Ave,1.0,7.0,-6.0
182,0,48 St & 50 Ave,2.0,2.0,0.0
183,0,48 St & Barnett Ave,1.0,2.0,-1.0
184,0,48 St & Broadway,14.0,8.0,6.0
185,0,48 St & Skillman Ave,4.0,10.0,-6.0
186,0,49 Ave & 21 St,6.0,2.0,4.0
187,0,49 St & 25 Ave,2.0,4.0,-2.0
188,0,49 St & 31 Ave,6.0,3.0,3.0
189,0,5 Av & W 139 St,7.0,6.0,1.0
190,0,5 Ave & 3 St,15.0,21.0,-6.0
191,0,5 Ave & 37 St,1.0,2.0,-1.0
192,0,5 Ave & 41 St,1.0,10.0,-9.0
193,0,5 Ave & 66 St,1.0,3.0,-2.0
194,0,5 Ave & E 103 St,6.0,7.0,-1.0
195,0,5 Ave & E 135 St,5.0,8.0,-3.0
196,0,5 Ave & E 29 St,39.0,19.0,20.0
197,0,5 Ave & E 63 St,14.0,10.0,4.0
198,0,5 Ave & E 72 St,18.0,19.0,-1.0
199,0,5 Ave & E 78 St,17.0,15.0,2.0
200,0,5 Ave & E 87 St,19.0,12.0,7.0
201,0,5 Ave & E 93 St,7.0,6.0,1.0
202,0,5 Ave & W 126 St,8.0,10.0,-2.0
203,0,5 Ave & W 131 St,5.0,16.0,-11.0
204,0,5 St & 51 Ave,5.0,7.0,-2.0
205,0,5 St & 6 Ave,5.0,10.0,-5.0
206,0,50 St & 30 Ave,4.0,5.0,-1.0
207,0,50 St & Barnett Ave,2.0,7.0,-5.0
208,0,50 St & Northern Blvd,1.0,1.0,0.0
209,0,51 St & 43 Ave,3.0,4.0,-1.0
210,0,51 St & Hobart St,1.0,3.0,-2.0
211,0,52 St & 1 Ave,1.0,0.0,1.0
212,0,52 St & 6 Ave,1.0,3.0,-2.0
213,0,53 St & 2 Ave,3.0,1.0,2.0
214,0,53 St & 4 Ave,8.0,9.0,-1.0
215,0,53 St & 5 Ave,2.0,3.0,-1.0
216,0,53 St & Roosevelt Ave,4.0,0.0,4.0
217,0,55 St & 5 Ave,2.0,2.0,0.0
218,0,55 St & Northern Blvd,1.0,1.0,0.0
219,0,57 St & 1 Ave,4.0,11.0,-7.0
220,0,57 St & 4 Ave,5.0,2.0,3.0
221,0,57 St & 43 Ave,2.0,2.0,0.0
222,0,58 St & 2 Ave,3.0,0.0,3.0
223,0,58 St & 32 Ave,2.0,6.0,-4.0
224,0,59 St & 4 Ave,2.0,4.0,-2.0
225,0,59 St & 5 Ave,3.0,1.0,2.0
226,0,6 Ave & 12 St,13.0,14.0,-1.0
227,0,6 Ave & 21 St,24.0,19.0,5.0
228,0,6 Ave & 60 St,2.0,3.0,-1.0
229,0,6 Ave & 9 St,11.0,7.0,4.0
230,0,6 Ave & Broome St,27.0,25.0,2.0
231,0,6 Ave & Canal St,24.0,23.0,1.0
232,0,6 Ave & W 33 St,77.0,81.0,-4.0
233,0,6 Ave & W 34 St,97.0,63.0,34.0
234,0,6 Ave & W 45 St,68.0,44.0,24.0
235,0,6 Ave & Walker St,41.0,19.0,22.0
236,0,6 St & 7 Ave,8.0,13.0,-5.0
237,0,60 St & 37 Ave,5.0,1.0,4.0
238,0,61 St & 39 Ave,7.0,0.0,7.0
239,0,61 St & Laurel Hill Blvd,2.0,4.0,-2.0
240,0,61 St & Woodside Ave,6.0,3.0,3.0
241,0,62 St & 4 Ave,1.0,1.0,0.0
242,0,62 St & Northern Blvd,4.0,17.0,-13.0
243,0,65 Pl & Woodside Ave,2.0,2.0,0.0
244,0,65 St & 35 Ave,5.0,2.0,3.0
245,0,65 St & Broadway,14.0,2.0,12.0
246,0,69 St & 43 Ave,1.0,8.0,-7.0
247,0,7 Ave & 17 St,1.0,5.0,-4.0
248,0,7 Ave & 20 St,7.0,12.0,-5.0
249,0,7 Ave & 22 St,1.0,12.0,-11.0
250,0,7 Ave & 40 St,1.0,3.0,-2.0
251,0,7 Ave & 41 St,2.0,5.0,-3.0
252,0,7 Ave & Central Park South,25.0,17.0,8.0
253,0,7 Ave & Park Pl,22.0,12.0,10.0
254,0,7 Ave S & Bleecker St,85.0,67.0,18.0
255,0,7 St & 3 Ave,9.0,7.0,2.0
256,0,7 St & 5 Ave,8.0,5.0,3.0
257,0,72 St & 41 Ave,2.0,6.0,-4.0
258,0,72 St & Woodside Ave,2.0,1.0,1.0
259,0,8 Ave & W 16 St,66.0,77.0,-11.0
260,0,8 Ave & W 24 St,24.0,47.0,-23.0
261,0,8 Ave & W 27 St,23.0,22.0,1.0
262,0,8 Ave & W 31 St,46.0,47.0,-1.0
263,0,8 Ave & W 33 St,100.0,66.0,34.0
264,0,8 Ave & W 38 St,51.0,60.0,-9.0
265,0,8 Ave & W 49 St,59.0,60.0,-1.0
266,0,8 Ave & W 52 St,68.0,55.0,13.0
267,0,8 St & Astoria Blvd,2.0,4.0,-2.0
268,0,9 Ave & W 18 St,45.0,58.0,-13.0
269,0,9 Ave & W 22 St,41.0,52.0,-11.0
270,0,9 Ave & W 39 St,32.0,33.0,-1.0
271,0,9 Ave & W 45 St,58.0,65.0,-7.0
272,0,Adam Clayton Powell Blvd & W 115 St,9.0,12.0,-3.0
273,0,Adam Clayton Powell Blvd & W 118 St,6.0,13.0,-7.0
274,0,Adam Clayton Powell Blvd & W 123 St,17.0,22.0,-5.0
275,0,Adam Clayton Powell Blvd & W 126 St,31.0,14.0,17.0
276,0,Adam Clayton Powell Blvd & W 130 St,7.0,11.0,-4.0
277,0,Adam Clayton Powell Blvd & W 132 St,16.0,9.0,7.0
278,0,Adam Clayton Powell Blvd & W 138 St,11.0,22.0,-11.0
279,0,Adam Clayton Powell Blvd & W 141 St,3.0,21.0,-18.0
280,0,Adam Clayton Powell Blvd & W 151 St,12.0,8.0,4.0
281,0,Adams St & Prospect St,7.0,4.0,3.0
282,0,Adelphi St & Myrtle Ave,24.0,43.0,-19.0
283,0,Albany Ave & Fulton St,12.0,11.0,1.0
284,0,Albany Ave & Park Pl,5.0,5.0,0.0
285,0,Albany St & Greenwich St,8.0,22.0,-14.0
286,0,Albee Square W & Fulton St,20.0,18.0,2.0
287,0,Albemarle Rd & McDonald Ave,1.0,2.0,-1.0
288,0,Alexander Ave & E 134 St,7.0,10.0,-3.0
289,0,Allen St & Hester St,54.0,42.0,12.0
290,0,Allen St & Rivington St,60.0,51.0,9.0
291,0,Allen St & Stanton St,75.0,71.0,4.0
292,0,Amsterdam Ave & W 119 St,12.0,6.0,6.0
293,0,Amsterdam Ave & W 125 St,12.0,7.0,5.0
294,0,Amsterdam Ave & W 131 St,5.0,10.0,-5.0
295,0,Amsterdam Ave & W 136 St,7.0,16.0,-9.0
296,0,Amsterdam Ave & W 152 St,14.0,18.0,-4.0
297,0,Amsterdam Ave & W 156 St,1.0,2.0,-1.0
298,0,Amsterdam Ave & W 162 St,6.0,9.0,-3.0
299,0,Amsterdam Ave & W 167 St,6.0,6.0,0.0
300,0,Amsterdam Ave & W 172 St,6.0,4.0,2.0
301,0,Amsterdam Ave & W 175 St,2.0,4.0,-2.0
302,0,Amsterdam Ave & W 183 St,4.0,4.0,0.0
303,0,Amsterdam Ave & W 186 St,1.0,2.0,-1.0
304,0,Amsterdam Ave & W 189 St,1.0,0.0,1.0
305,0,Amsterdam Ave & W 66 St,14.0,13.0,1.0
306,0,Amsterdam Ave & W 73 St,43.0,36.0,7.0
307,0,Amsterdam Ave & W 79 St,36.0,42.0,-6.0
308,0,Anderson Ave & W 164 St,6.0,2.0,4.0
309,0,Andrews Ave S & W 179 St,1.0,0.0,1.0
310,0,Anthony Ave & E 175 St,8.0,3.0,5.0
311,0,Anthony Ave & E Tremont Ave,4.0,11.0,-7.0
312,0,Ashland Pl & Dekalb Ave,5.0,5.0,0.0
313,0,Astoria Park S & Shore Blvd,1.0,16.0,-15.0
314,0,Atlantic Ave & Fort Greene Pl,17.0,10.0,7.0
315,0,Atlantic Ave & Furman St,3.0,6.0,-3.0
316,0,Audobon Ave & W 179 St,7.0,8.0,-1.0
317,0,Audubon Ave & Fort George Ave,1.0,2.0,-1.0
318,0,Audubon Ave & W 192 St,1.0,0.0,1.0
319,0,Ave A & E 11 St,46.0,52.0,-6.0
320,0,Ave A & E 14 St,70.0,92.0,-22.0
321,0,Ave D & E 8 St,14.0,41.0,-27.0
322,0,Avenue D & E 10 St,6.0,12.0,-6.0
323,0,Avenue D & E 12 St,10.0,25.0,-15.0
324,0,Avenue D & E 3 St,15.0,61.0,-46.0
325,0,Bainbridge Ave & Bedford Park Blvd,1.0,1.0,0.0
326,0,Bainbridge Ave & E 193 St,3.0,0.0,3.0
327,0,Bainbridge Ave & E 196 St,1.0,4.0,-3.0
328,0,Bainbridge Ave & E 198 St,1.0,5.0,-4.0
329,0,Bank St & Hudson St,29.0,30.0,-1.0
330,0,Bank St & Washington St,8.0,11.0,-3.0
331,0,Banker St & Meserole Ave,15.0,9.0,6.0
332,0,Barclay St & Church St,1.0,4.0,-3.0
333,0,Barrow St & Hudson St,24.0,13.0,11.0
334,0,Bay St & Court St,7.0,7.0,0.0
335,0,Bayard St & Baxter St,26.0,32.0,-6.0
336,0,Bayard St & Leonard St,16.0,9.0,7.0
337,0,Beaver St & Fayette St,5.0,20.0,-15.0
338,0,Beck St & Leggett Ave,3.0,7.0,-4.0
339,0,Bedford Ave & Bergen St,10.0,26.0,-16.0
340,0,Bedford Ave & Montgomery St,2.0,15.0,-13.0
341,0,Bedford Ave & Nassau Ave,44.0,31.0,13.0
342,0,Bedford Ave & S 9 St,9.0,12.0,-3.0
343,0,Bedford Park Blvd & Paul Ave,1.0,0.0,1.0
344,0,Bergen Ave & E 152 St,5.0,8.0,-3.0
345,0,Bergen St & 4 Ave,26.0,18.0,8.0
346,0,Bergen St & Buffalo Ave,1.0,3.0,-2.0
347,0,Bergen St & Flatbush Ave,21.0,15.0,6.0
348,0,Bergen St & Kingston Ave,13.0,17.0,-4.0
349,0,Bergen St & Saratoga Ave,3.0,4.0,-1.0
350,0,Bergen St & Smith St,29.0,25.0,4.0
351,0,Bergen St & Troy Ave,5.0,8.0,-3.0
352,0,Bergen St & Vanderbilt Ave,38.0,25.0,13.0
353,0,Berkeley Pl & 6 Ave,20.0,11.0,9.0
354,0,Berkeley Pl & 7 Ave,23.0,13.0,10.0
355,0,Berry St & N 8 St,60.0,23.0,37.0
356,0,Bialystoker Pl & Delancey St,6.0,12.0,-6.0
357,0,Bleecker St & Crosby St,52.0,26.0,26.0
358,0,Boerum St & Broadway,15.0,22.0,-7.0
359,0,Bond St & Bergen St,24.0,14.0,10.0
360,0,Boone Ave & E 172 St,3.0,3.0,0.0
361,0,Boston Rd & E 167 St,2.0,10.0,-8.0
362,0,Boston Rd & Prospect Ave,18.0,11.0,7.0
363,0,Bradhurst Ave & W 148 St,6.0,4.0,2.0
364,0,Bradley Ave & Greenpoint Ave,5.0,3.0,2.0
365,0,Brevoort Pl & Bedford Ave,6.0,5.0,1.0
366,0,Bridge St & Water St,11.0,8.0,3.0
367,0,Bridge St & York St,6.0,6.0,0.0
368,0,Broad St & Bridge St,11.0,13.0,-2.0
369,0,Broadway & 49 St,4.0,2.0,2.0
370,0,Broadway & 51 St,6.0,3.0,3.0
371,0,Broadway & Battery Pl,4.0,12.0,-8.0
372,0,Broadway & Berry St,43.0,46.0,-3.0
373,0,Broadway & E 14 St,69.0,53.0,16.0
374,0,Broadway & E 19 St,44.0,14.0,30.0
375,0,Broadway & E 21 St,59.0,20.0,39.0
376,0,Broadway & Ellwood St,6.0,6.0,0.0
377,0,Broadway & Furman Ave,1.0,6.0,-5.0
378,0,Broadway & Hancock St,13.0,7.0,6.0
379,0,Broadway & Kosciuszko St,20.0,21.0,-1.0
380,0,Broadway & Madison St,8.0,18.0,-10.0
381,0,Broadway & Morris St,4.0,11.0,-7.0
382,0,Broadway & Moylan Pl,14.0,17.0,-3.0
383,0,Broadway & Roebling St,39.0,28.0,11.0
384,0,Broadway & W 122 St,4.0,5.0,-1.0
385,0,Broadway & W 133 St,4.0,2.0,2.0
386,0,Broadway & W 138 St,19.0,15.0,4.0
387,0,Broadway & W 142 St,7.0,11.0,-4.0
388,0,Broadway & W 153 St,4.0,4.0,0.0
389,0,Broadway & W 155 St,8.0,10.0,-2.0
390,0,Broadway & W 160 St,7.0,16.0,-9.0
391,0,Broadway & W 165 St,5.0,1.0,4.0
392,0,Broadway & W 168 St,9.0,3.0,6.0
393,0,Broadway & W 185 St,4.0,6.0,-2.0
394,0,Broadway & W 192 St,1.0,5.0,-4.0
395,0,Broadway & W 220 St,2.0,2.0,0.0
396,0,Broadway & W 25 St,51.0,31.0,20.0
397,0,Broadway & W 29 St,64.0,28.0,36.0
398,0,Broadway & W 36 St,25.0,18.0,7.0
399,0,Broadway & W 37 St,10.0,10.0,0.0
400,0,Broadway & W 38 St,12.0,12.0,0.0
401,0,Broadway & W 41 St,49.0,39.0,10.0
402,0,Broadway & W 48 St,54.0,33.0,21.0
403,0,Broadway & W 51 St,34.0,20.0,14.0
404,0,Broadway & W 53 St,50.0,28.0,22.0
405,0,Broadway & W 56 St,55.0,36.0,19.0
406,0,Broadway & W 58 St,76.0,50.0,26.0
407,0,Broadway & W 61 St,57.0,38.0,19.0
408,0,Broadway & Whipple St,17.0,29.0,-12.0
409,0,Brook Ave & E 138 St,1.0,3.0,-2.0
410,0,Brook Ave & E 148 St,8.0,5.0,3.0
411,0,Brook Ave & E 157 St,4.0,1.0,3.0
412,0,Brooklyn Ave & Prospect Pl,3.0,10.0,-7.0
413,0,Bruckner Blvd & Bryant Ave,4.0,5.0,-1.0
414,0,Buffalo Ave & St Johns Pl,1.0,0.0,1.0
415,0,Bus Slip & State St,4.0,9.0,-5.0
416,0,Bushwick Ave & Dekalb Ave,3.0,11.0,-8.0
417,0,Bushwick Ave & Forrest St,5.0,25.0,-20.0
418,0,Bushwick Ave & Furman Ave,15.0,6.0,9.0
419,0,Bushwick Ave & Harman St,9.0,19.0,-10.0
420,0,Bushwick Ave & Linden St,9.0,23.0,-14.0
421,0,Bushwick Ave & McKibbin St,13.0,3.0,10.0
422,0,Bushwick Ave & Powers St,15.0,20.0,-5.0
423,0,Bushwick Ave & Stagg St,9.0,6.0,3.0
424,0,Butler St & Court St,4.0,5.0,-1.0
425,0,Cabrini Blvd & W 177 St,1.0,2.0,-1.0
426,0,Cadman Plaza E & Red Cross Pl,8.0,8.0,0.0
427,0,Cadman Plaza E & Tillary St,7.0,7.0,0.0
428,0,Calyer St & Guernsey St,16.0,13.0,3.0
429,0,Calyer St & Jewel St,2.0,5.0,-3.0
430,0,Cambridge Pl & Gates Ave,8.0,13.0,-5.0
431,0,Canal St & Rutgers St,92.0,77.0,15.0
432,0,Carlton Ave & Dean St,22.0,21.0,1.0
433,0,Carlton Ave & Flushing Ave,5.0,17.0,-12.0
434,0,Carlton Ave & Park Ave,3.0,8.0,-5.0
435,0,Carlton Ave & St Marks Ave,11.0,10.0,1.0
436,0,Carroll St & 5 Ave,16.0,26.0,-10.0
437,0,Carroll St & 6 Ave,9.0,13.0,-4.0
438,0,Carroll St & Bond St,3.0,4.0,-1.0
439,0,Carroll St & Columbia St,4.0,13.0,-9.0
440,0,Carroll St & Franklin Ave,1.0,8.0,-7.0
441,0,Carroll St & Smith St,21.0,15.0,6.0
442,0,Carroll St & Washington Ave,9.0,7.0,2.0
443,0,Cathedral Pkwy & Broadway,40.0,22.0,18.0
444,0,Catherine St & Monroe St,6.0,14.0,-8.0
445,0,Caton Ave & Argyle Rd,3.0,5.0,-2.0
446,0,Caton Ave & E 10 St,2.0,15.0,-13.0
447,0,Caton Ave & E 7 St,5.0,3.0,2.0
448,0,Cauldwell Ave & E 158 St,2.0,11.0,-9.0
449,0,Cauldwell Ave & E 161 St,5.0,7.0,-2.0
450,0,Cedar Ave & W Fordham Rd,4.0,3.0,1.0
451,0,Cedar St & Evergreen Ave,5.0,10.0,-5.0
452,0,Cedar St & Myrtle Ave,19.0,24.0,-5.0
453,0,Center Blvd & 48 Ave,4.0,9.0,-5.0
454,0,Center Blvd & 51 Ave,11.0,14.0,-3.0
455,0,Central Ave & Covert St,5.0,7.0,-2.0
456,0,Central Ave & Decatur St,4.0,5.0,-1.0
457,0,Central Ave & Flushing Ave,11.0,13.0,-2.0
458,0,Central Ave & Himrod St,9.0,20.0,-11.0
459,0,Central Ave & Melrose St,8.0,9.0,-1.0
460,0,Central Ave & Starr Street,9.0,26.0,-17.0
461,0,Central Ave & Weirfield St,5.0,27.0,-22.0
462,0,Central Ave & Woodbine St,2.0,17.0,-15.0
463,0,Central Park North & Adam Clayton Powell Blvd,18.0,14.0,4.0
464,0,Central Park S & 6 Ave,44.0,24.0,20.0
465,0,Central Park W & W 103 St,13.0,24.0,-11.0
466,0,Central Park W & W 91 St,15.0,46.0,-31.0
467,0,Central Park W & W 97 St,13.0,9.0,4.0
468,0,Central Park West & W 68 St,21.0,23.0,-2.0
469,0,Central Park West & W 72 St,41.0,21.0,20.0
470,0,Central Park West & W 76 St,10.0,12.0,-2.0
471,0,Central Park West & W 85 St,19.0,25.0,-6.0
472,0,Centre St & Chambers St,29.0,32.0,-3.0
473,0,Centre St & Seneca Ave,6.0,5.0,1.0
474,0,Centre St & Worth St,10.0,21.0,-11.0
475,0,Charlotte St & Boston Rd,1.0,1.0,0.0
476,0,Chauncey St & Howard Ave,4.0,14.0,-10.0
477,0,Chauncey St & Malcolm X Blvd,3.0,4.0,-1.0
478,0,Chauncey St & Stuyvesant Ave,18.0,8.0,10.0
479,0,Cherry St,1.0,20.0,-19.0
480,0,Chester Ave & 12 Ave,4.0,1.0,3.0
