,hour,station_name,start_count,end_count,deficit,popularity
0,0,1 Ave & E 110 St,2.0,5.0,-3.0,7.0
1,0,1 Ave & E 16 St,32.0,33.0,-1.0,65.0
2,0,1 Ave & E 18 St,19.0,41.0,-22.0,60.0
3,0,1 Ave & E 30 St,3.0,18.0,-15.0,21.0
4,0,1 Ave & E 39 St,12.0,25.0,-13.0,37.0
5,0,1 Ave & E 44 St,2.0,5.0,-3.0,7.0
6,0,1 Ave & E 6 St,23.0,33.0,-10.0,56.0
7,0,1 Ave & E 62 St,29.0,28.0,1.0,57.0
8,0,1 Ave & E 68 St,25.0,37.0,-12.0,62.0
9,0,1 Ave & E 78 St,22.0,39.0,-17.0,61.0
10,0,1 Ave & E 94 St,5.0,9.0,-4.0,14.0
11,0,1 Pl & Clinton St,5.0,10.0,-5.0,15.0
12,0,1 St & 6 Ave,1.0,7.0,-6.0,8.0
13,0,10 Ave & W 14 St,47.0,22.0,25.0,69.0
14,0,10 Ave & W 202 St,1.0,0.0,1.0,1.0
15,0,10 Ave & W 204 St,3.0,1.0,2.0,4.0
16,0,10 Ave & W 207 St,1.0,1.0,0.0,2.0
17,0,10 Ave & W 215 St,1.0,0.0,1.0,1.0
18,0,10 Ave & W 28 St,36.0,60.0,-24.0,96.0
19,0,10 St & 2 Ave,2.0,3.0,-1.0,5.0
20,0,10 St & 5 Ave,11.0,4.0,7.0,15.0
21,0,10 St & 7 Ave,15.0,13.0,2.0,28.0
22,0,11 Ave & W 27 St,22.0,31.0,-9.0,53.0
23,0,11 Ave & W 41 St,27.0,73.0,-46.0,100.0
24,0,11 Ave & W 59 St,17.0,16.0,1.0,33.0
25,0,11 St & 43 Ave,1.0,2.0,-1.0,3.0
26,0,12 Ave & 36 St,1.0,2.0,-1.0,3.0
27,0,12 Ave & W 125 St,7.0,20.0,-13.0,27.0
28,0,12 Ave & W 40 St,24.0,26.0,-2.0,50.0
29,0,12 St & 4 Ave,2.0,2.0,0.0,4.0
30,0,14 St & 5 Ave,10.0,9.0,1.0,19.0
31,0,14 St & 7 Ave,17.0,11.0,6.0,28.0
32,0,16th St & 4th Ave,4.0,4.0,0.0,8.0
33,0,17 St & 5 Ave,7.0,7.0,0.0,14.0
34,0,18 St & 27 Ave,3.0,4.0,-1.0,7.0
35,0,2 Ave & 36 St,1.0,2.0,-1.0,3.0
36,0,2 Ave & E 104 St,3.0,9.0,-6.0,12.0
37,0,2 Ave & E 122 St,6.0,10.0,-4.0,16.0
38,0,2 Ave & E 125 St,5.0,3.0,2.0,8.0
39,0,2 Ave & E 29 St,27.0,40.0,-13.0,67.0
40,0,2 Ave & E 31 St,27.0,22.0,5.0,49.0
41,0,2 Ave & E 55 St,9.0,11.0,-2.0,20.0
42,0,2 Ave & E 72 St,13.0,21.0,-8.0,34.0
43,0,2 Ave & E 96 St,11.0,12.0,-1.0,23.0
44,0,2 Ave & E 99 St,4.0,5.0,-1.0,9.0
45,0,20 Ave & 42 St,1.0,1.0,0.0,2.0
46,0,20 Ave & Shore Blvd,3.0,1.0,2.0,4.0
47,0,21 Ave & 80 St,1.0,5.0,-4.0,6.0
48,0,21 Ave & Crescent St,1.0,10.0,-9.0,11.0
49,0,21 Ave & Shore Blvd,3.0,6.0,-3.0,9.0
50,0,21 St & 23 Ave,12.0,6.0,6.0,18.0
51,0,21 St & 31 Dr,2.0,7.0,-5.0,9.0
52,0,21 St & 36 Ave,2.0,1.0,1.0,3.0
53,0,21 St & 38 Ave,6.0,4.0,2.0,10.0
54,0,21 St & 43 Ave,2.0,1.0,1.0,3.0
