,hour,station_name,start_count,end_count,deficit,popularity
0,0,1 Ave & E 110 St,5.0,2.0,3.0,7.0
1,0,1 Ave & E 16 St,13.0,33.0,-20.0,46.0
2,0,1 Ave & E 18 St,20.0,17.0,3.0,37.0
3,0,1 Ave & E 30 St,7.0,8.0,-1.0,15.0
4,0,1 Ave & E 39 St,6.0,12.0,-6.0,18.0
5,0,1 Ave & E 44 St,9.0,13.0,-4.0,22.0
6,0,1 Ave & E 6 St,11.0,17.0,-6.0,28.0
7,0,1 Ave & E 62 St,23.0,28.0,-5.0,51.0
8,0,1 Ave & E 68 St,17.0,17.0,0.0,34.0
9,0,1 Ave & E 78 St,7.0,17.0,-10.0,24.0
10,0,1 Ave & E 94 St,5.0,8.0,-3.0,13.0
11,0,1 Pl & Clinton St,1.0,3.0,-2.0,4.0
12,0,10 Ave & W 14 St,8.0,10.0,-2.0,18.0
13,0,10 Ave & W 207 St,2.0,1.0,1.0,3.0
14,0,10 Ave & W 215 St,1.0,0.0,1.0,1.0
15,0,10 Ave & W 28 St,6.0,20.0,-14.0,26.0
16,0,10 St & 2 Ave,3.0,0.0,3.0,3.0
17,0,10 St & 5 Ave,6.0,1.0,5.0,7.0
18,0,10 St & 7 Ave,4.0,13.0,-9.0,17.0
19,0,11 Ave & Prospect Ave,1.0,8.0,-7.0,9.0
20,0,11 Ave & W 27 St,7.0,9.0,-2.0,16.0
21,0,11 Ave & W 41 St,22.0,16.0,6.0,38.0
22,0,11 Ave & W 59 St,1.0,2.0,-1.0,3.0
23,0,12 Ave & W 125 St,1.0,3.0,-2.0,4.0
24,0,12 Ave & W 40 St,9.0,13.0,-4.0,22.0
25,0,14 St & 5 Ave,6.0,5.0,1.0,11.0
26,0,14 St & 7 Ave,4.0,5.0,-1.0,9.0
27,0,17 St & 5 Ave,1.0,4.0,-3.0,5.0
28,0,18 St & 27 Ave,4.0,5.0,-1.0,9.0
29,0,19 St & 24 Ave,4.0,2.0,2.0,6.0
30,0,2 Ave & E 104 St,1.0,8.0,-7.0,9.0
31,0,2 Ave & E 125 St,1.0,5.0,-4.0,6.0
32,0,2 Ave & E 29 St,6.0,16.0,-10.0,22.0
33,0,2 Ave & E 31 St,17.0,13.0,4.0,30.0
34,0,2 Ave & E 55 St,3.0,5.0,-2.0,8.0
35,0,2 Ave & E 72 St,11.0,16.0,-5.0,27.0
36,0,2 Ave & E 96 St,7.0,9.0,-2.0,16.0
37,0,2 Ave & E 99 St,8.0,19.0,-11.0,27.0
38,0,20 Ave & Shore Blvd,6.0,6.0,0.0,12.0
39,0,21 Ave & Crescent St,2.0,12.0,-10.0,14.0
40,0,21 St & 36 Ave,1.0,8.0,-7.0,9.0
41,0,21 St & 38 Ave,1.0,2.0,-1.0,3.0
42,0,21 St & 4 Ave,3.0,1.0,2.0,4.0
43,0,21 St & 43 Ave,2.0,0.0,2.0,2.0
44,0,21 St & Queens Plaza North,9.0,4.0,5.0,13.0
45,0,23 Ave & 27 St,1.0,5.0,-4.0,6.0
46,0,23 Rd & 31 St,1.0,0.0,1.0,1.0
47,0,24 Ave & 26 St,2.0,1.0,1.0,3.0
48,0,24 Ave & 29 St,6.0,4.0,2.0,10.0
49,0,24 St & 5 Ave,1.0,1.0,0.0,2.0
50,0,25 Ave & 41 St,2.0,5.0,-3.0,7.0
51,0,27 Ave & 9 St,1.0,10.0,-9.0,11.0
52,0,27 St & Hunter St,2.0,6.0,-4.0,8.0
53,0,28 Ave & 35 St,1.0,8.0,-7.0,9.0
54,0,28 St & 36 Ave,2.0,2.0,0.0,4.0
55,0,28 St & 41 Ave,4.0,8.0,-4.0,12.0
56,0,29 St & 5 Ave,1.0,1.0,0.0,2.0
57,0,3 Ave & 14 St,3.0,1.0,2.0,4.0
58,0,3 Ave & E 100 St,2.0,5.0,-3.0,7.0
59,0,3 Ave & E 112 St,2.0,2.0,0.0,4.0
60,0,3 Ave & E 169 St,3.0,6.0,-3.0,9.0
61,0,3 Ave & E 174 St,3.0,4.0,-1.0,7.0
62,0,3 Ave & E 62 St,3.0,2.0,1.0,5.0
63,0,3 Ave & E 71 St,6.0,5.0,1.0,11.0
64,0,3 Ave & Franklin Ave,1.0,1.0,0.0,2.0
65,0,3 Ave & Schermerhorn St,6.0,8.0,-2.0,14.0
66,0,3 Ave & Wakeman Pl,1.0,3.0,-2.0,4.0
67,0,3 St & 3 Ave,2.0,2.0,0.0,4.0
68,0,3 St & 7 Ave,4.0,9.0,-5.0,13.0
69,0,3 St & Hoyt St,1.0,1.0,0.0,2.0
70,0,3 St & Prospect Park West,1.0,5.0,-4.0,6.0
71,0,30 Ave & 21 St,1.0,3.0,-2.0,4.0
72,0,30 Ave & 41 St,5.0,3.0,2.0,8.0
73,0,30 Ave & 47 St,3.0,4.0,-1.0,7.0
