,start_station_name,start_count,end_count,deficit,popularity
0,1 Ave & E 110 St,2523.0,2522.0,1.0,5045.0
1,1 Ave & E 16 St,6259.0,6288.0,-29.0,12547.0
2,1 Ave & E 18 St,6749.0,6766.0,-17.0,13515.0
3,1 Ave & E 30 St,5189.0,5204.0,-15.0,10393.0
4,1 Ave & E 39 St,7462.0,7511.0,-49.0,14973.0
5,1 Ave & E 44 St,3443.0,3455.0,-12.0,6898.0
6,1 Ave & E 6 St,5879.0,5875.0,4.0,11754.0
7,1 Ave & E 62 St,6937.0,6994.0,-57.0,13931.0
8,1 Ave & E 68 St,9932.0,9971.0,-39.0,19903.0
9,1 Ave & E 94 St,2115.0,2155.0,-40.0,4270.0
10,1 Pl & Clinton St,1775.0,1768.0,7.0,3543.0
11,1 St & 6 Ave,1565.0,1556.0,9.0,3121.0
12,10 Ave & W 14 St,10028.0,10087.0,-59.0,20115.0
13,10 Ave & W 202 St,133.0,140.0,-7.0,273.0
14,10 Ave & W 204 St,66.0,69.0,-3.0,135.0
15,10 Ave & W 207 St,419.0,426.0,-7.0,845.0
16,10 Ave & W 215 St,196.0,194.0,2.0,390.0
17,10 Ave & W 28 St,7375.0,7382.0,-7.0,14757.0
18,10 St & 2 Ave,747.0,740.0,7.0,1487.0
19,10 St & 4 Ave,1498.0,1518.0,-20.0,3016.0
20,10 St & 5 Ave,1530.0,1546.0,-16.0,3076.0
21,10 St & 7 Ave,2674.0,2690.0,-16.0,5364.0
22,11 Ave & Prospect Ave,1258.0,1263.0,-5.0,2521.0
23,11 Ave & W 27 St,7792.0,7823.0,-31.0,15615.0
24,11 Ave & W 41 St,10529.0,10517.0,12.0,21046.0
25,11 Ave & W 59 St,4839.0,4845.0,-6.0,9684.0
26,11 St & 43 Ave,531.0,545.0,-14.0,1076.0
27,11 St & Washington St,1.0,3.0,-2.0,4.0
28,12 Ave & 36 St,379.0,385.0,-6.0,764.0
29,12 Ave & W 125 St,2464.0,2423.0,41.0,4887.0
30,12 Ave & W 40 St,10034.0,10079.0,-45.0,20113.0
31,12 St & 4 Ave,1057.0,1046.0,11.0,2103.0
32,12 St & Sinatra Dr N,3.0,15.0,-12.0,18.0
33,14 St & 5 Ave,1988.0,2003.0,-15.0,3991.0
34,14 St & 7 Ave,2052.0,2064.0,-12.0,4116.0
35,16th St & 4th Ave,659.0,705.0,-46.0,1364.0
36,17 St & 5 Ave,1467.0,1451.0,16.0,2918.0
37,18 St & 27 Ave,1286.0,1314.0,-28.0,2600.0
38,19 St & 24 Ave,1305.0,1334.0,-29.0,2639.0
39,19 St & 8 Ave,345.0,251.0,94.0,596.0
40,2 Av & 37 St,77.0,81.0,-4.0,158.0
41,2 Ave & 32 St,145.0,158.0,-13.0,303.0
42,2 Ave & 36 St,453.0,503.0,-50.0,956.0
43,2 Ave & 39 St,252.0,267.0,-15.0,519.0
44,2 Ave & 43 St,122.0,149.0,-27.0,271.0
45,2 Ave & 44 St,105.0,105.0,0.0,210.0
46,2 Ave & E 104 St,1872.0,1883.0,-11.0,3755.0
47,2 Ave & E 122 St,1687.0,1715.0,-28.0,3402.0
48,2 Ave & E 125 St,1451.0,1489.0,-38.0,2940.0
49,2 Ave & E 29 St,7182.0,7231.0,-49.0,14413.0
50,2 Ave & E 31 St,8387.0,8440.0,-53.0,16827.0
51,2 Ave & E 72 St,5881.0,5928.0,-47.0,11809.0
52,2 Ave & E 96 St,4139.0,4187.0,-48.0,8326.0
53,20 Ave & 21 St,354.0,364.0,-10.0,718.0
54,20 Ave & 38 St,806.0,818.0,-12.0,1624.0
55,20 Ave & 42 St,262.0,272.0,-10.0,534.0
56,20 Ave & 48 St,319.0,320.0,-1.0,639.0
57,20 Ave & Shore Blvd,258.0,263.0,-5.0,521.0
58,21 Ave & 80 St,177.0,176.0,1.0,353.0
59,21 Ave & Crescent St,1335.0,1345.0,-10.0,2680.0
