,start_station_name,start_count,end_count,deficit,popularity
0,1 Ave & E 110 St,1295.0,1323,-28.0,2618.0
1,1 Ave & E 16 St,4934.0,4782,152.0,9716.0
2,1 Ave & E 18 St,4215.0,4104,111.0,8319.0
3,1 Ave & E 30 St,3991.0,4008,-17.0,7999.0
4,1 Ave & E 39 St,4513.0,4522,-9.0,9035.0
5,1 Ave & E 44 St,1851.0,1819,32.0,3670.0
6,1 Ave & E 5 St,3202.0,3171,31.0,6373.0
7,1 Ave & E 62 St,4165.0,4187,-22.0,8352.0
8,1 Ave & E 68 St,8491.0,8540,-49.0,17031.0
9,1 Ave & E 78 St,4614.0,4627,-13.0,9241.0
10,1 Ave & E 94 St,1699.0,1708,-9.0,3407.0
11,1 Pl & Clinton St,650.0,657,-7.0,1307.0
12,10 Ave & W 28 St,3521.0,3569,-48.0,7090.0
13,10 St & 2 Ave,330.0,341,-11.0,671.0
14,10 St & 5 Ave,668.0,670,-2.0,1338.0
15,10 St & 7 Ave,887.0,872,15.0,1759.0
16,11 Ave & Prospect Ave,364.0,349,15.0,713.0
17,11 Ave & W 27 St,2409.0,2494,-85.0,4903.0
18,11 Ave & W 41 St,5091.0,5088,3.0,10179.0
19,11 Ave & W 59 St,2671.0,2697,-26.0,5368.0
20,11 St & 43 Ave,262.0,274,-12.0,536.0
21,12 Ave & 36 St,33.0,38,-5.0,71.0
22,12 Ave & W 125 St,1429.0,1438,-9.0,2867.0
23,12 Ave & W 40 St,4560.0,4450,110.0,9010.0
24,12 St & 4 Ave,465.0,460,5.0,925.0
25,14 St & 5 Ave,764.0,767,-3.0,1531.0
26,14 St & 7 Ave,880.0,841,39.0,1721.0
27,16th St & 4th Ave,293.0,286,7.0,579.0
28,17 St & 5 Ave,482.0,486,-4.0,968.0
29,18 St & 27 Ave,309.0,289,20.0,598.0
30,19 St & 24 Ave,548.0,534,14.0,1082.0
31,2 Av & 37 St,60.0,79,-19.0,139.0
32,2 Ave & 32 St,73.0,103,-30.0,176.0
33,2 Ave & 36 St,356.0,373,-17.0,729.0
34,2 Ave & E 104 St,940.0,936,4.0,1876.0
35,2 Ave & E 122 St,488.0,479,9.0,967.0
36,2 Ave & E 125 St,586.0,577,9.0,1163.0
37,2 Ave & E 29 St,3152.0,3046,106.0,6198.0
38,2 Ave & E 31 St,3961.0,3982,-21.0,7943.0
39,2 Ave & E 72 St,3854.0,3875,-21.0,7729.0
40,2 Ave & E 96 St,2279.0,2294,-15.0,4573.0
41,2 Ave & E 99 St,911.0,911,0.0,1822.0
42,20 Ave & 21 St,100.0,94,6.0,194.0
43,20 Ave & 33 St,116.0,116,0.0,232.0
44,20 Ave & 38 St,247.0,261,-14.0,508.0
45,20 Ave & 42 St,91.0,81,10.0,172.0
46,20 Ave & 48 St,70.0,61,9.0,131.0
47,20 Ave & Shore Blvd,88.0,99,-11.0,187.0
48,21 Ave & 80 St,63.0,57,6.0,120.0
49,21 Ave & Crescent St,273.0,265,8.0,538.0
